1,2,3,4,5,6,7
"ÇİĞLİ, ATAŞEHİR DE, SATILIK 112 m2 YATIRIMLIK 2 KATLI BİNA",2,1,Doğalgaz (Kombi),112.0,3.900.000 TL,
SATILIK ANA YOL ÜZERİ 162 M2 KÖŞE 4 KATLI BİNA/ 2 DÜKKAN 3 DAİRE,4,1,Doğalgaz (Kombi),162.0,17.000.000 TL,
İZMİR BAYRAKLIDA 4 KATLI İÇİNDE KİRACISI MEVCUT,4,1,Yok,100.0,4.685.000 TL,
REMAX BEST'TEN GÜMÜŞPALA MERKEZDE KÖŞE KONUMDA SATILIK BİNA,2,1,Klima,200.0,2.750.000 TL,
"KEMERALTI , HAREKETLİ BİR SOKAKDA 110 m2 (KOMPLE BİNA)",2,1,Yok,110.0,7.850.000 TL,
ÖZBEY MAHALLESİNDE 3 DAİRELİK SATILIK MÜSTAKİL APARTMAN,3,1,Doğalgaz (Kombi),310.0,4.250.000 TL,
KARABAĞLAR MERKEZ'DE ESERKENT'TE 132 m2 2 Katlı BİNA SATILIKTIR.,2,1,Yok,132.0,2.750.000 TL,
14 MAYIS MAH. YILBAŞINA KADAR GEÇERLİ İNDİRİMLİ FİYAT 2+1 DAİRE,3,1,Doğalgaz (Kombi),110.0,1.725.000 TL,
Sahibinden muhteşem lokasyonda 5 katlı bina,5,1,Doğalgaz (Kombi),130.0,13.850.000 TL,
KOZAĞAÇ MAHALLESİN'DE KOMPLE SATILIK 3 KATLI BİNA 2+1 DAİRELER,3,1,Doğalgaz (Kombi),100.0,5.250.000 TL,
Altıntaş'ta Tam Faturalı 16 Daireli Satılık Sıfır Lüks Bina,4,4,Klima,2.0,68.000.000 TL,
,,,,,,
Kemer Merkezde ÇOK KIYMETLİ TİCARİ 362 m2 KÖŞE BİNA,2,1,Doğalgaz (Kombi),362.0,31.500.000 TL,
ÜNALOĞLUNDAN 1+1GÜZELOBADA YATIRIMLIK 7ADET DAİRE KOMPLE SATILIK,3,2,Klima,300.0,15.250.000 TL,
,,,,,,
MANAVGAT DA KOMPLE SATILIK BİNA 1700m² BAHÇELİ 3+1,3,1,Soba,1.7,18.500.000 TL,
DENİZ MAH'DE KONYAALTI CD'SİNE YAKIN 2 KATLI SATILIK BİNA,2,1,Klima,300.0,28.750.000 TL,
VARSAK DEMİREL'DE 2 KATLI 3 DAİRELİ SIFIR SATILIK BİNA,2,1,Klima,306.0,8.700.000 TL,
ALANYA MERKEZDE KOMPLE YATIRIMLIK 14 DAİRELİK BİNA.........,5,2,Klima,220.0,35.000.000 TL,
ALANYA OBAGÖLDE SAHİLE 50 MT DENİZ MANZARALI SATILIK 1+1 DAİRE,4,4,Klima,70.0,4.500.000 TL,
968 m2 Arsa İçinde 15 odalı Komple Bina,3,5 +,Yok,350.0,8.400.000 TL,
MARKA DEĞERİNİZ ARTSIN! ANA YOLA CEPHELİ 620 M2 SATILIK PLAZA,2,2,Klima,620.0,52.000.000 TL,
DENİZE 750M SATILIK KOMPLE BİNA,6,1,Yok,1.0,28.500.000 TL,
Kültür'de Komple Satılık 30 Yataklı Apart Bina,4,4,Klima,550.0,28.500.000 TL,
KANALDA SATILIK BİNA,2,1,Soba,241.0,5.475.000 TL,
SİDE SELİMİYEDE SATILIK BİNA 3 DAİRE 2 DÜKKAN,3,3,Klima,140.0,9.450.000 TL,
LARA BARINAKLAR'DA DENİZE 100 MT. MESAFEDE SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),357.0,42.000.000 TL,
KALEİÇİ - ESKİ YUNUSHAN OTELI SAHİBİNDEN SATILIKTIR,3,5 +,Klima,250.0,36.000.000 TL,
TERRACİTY ARKASI 19 BAGIMSIZ BÖLÜM LÜ KOMPLE BİNA,3,5 +,Klima,650.0,39.500.000 TL,
BARINAKLARDA DENİZE İKİNCİ PARSEL DE MÜSTAKİL BİNA...,4,1,Klima,950.0,45.000.000 TL,
ÇAĞLAYAN BARINAKLARDA DENİZE 3. PARSEL SATILIK KOMPLE BİNA,3,2,Klima,450.0,45.000.000 TL,
YENİ SANAYİDE 850 M2 DEPO DÜKKAN TAPULU,1,1,Yok,850.0,55.000.000 TL,
FİNİKE KARŞIYAKA DA DENİZ MANZARALI SATILIK İKİ KATLI MÜSTAKİL,2,1,Klima,255.0,5.000.000 TL,
MUMİ GAYRİMENKUL'DEN KAŞ MERKEZDE SATILIK KOMPLE BİNA,4,1,Yok,130.0,12.500.000 TL,
CADDE ÜZERİ TRAMVAYA 100 METRE 3 KATLI KOMPLE SATILIK BİNA,3,1,Klima,442.0,12.500.000 TL,
RE/MAX LUXURY' den Kumluca'da Eşyalı Apart DAİRELER,4,4,Klima,50.0,34.000.000 TL,
ALANYA ANAYOL ÜZERİ KOMPLE SATILIK BİNA,6,2,Klima,80.0,60.000.000 TL,
KOMPLE TİCARİ BİNA 1000 m2 yabancı satışa uygun,4,2,Doğalgaz (Merkezi),1.0,30.000.000 TL,
ÇAĞLAYAN'DA 800 M2 İÇ KULLANIM M2 OLAN KOMPLE SATILIK BİNA,2,5 +,Klima,800.0,53.000.000 TL,
"^^ KAYRA'DAN İŞLEK CADDEDE ,KOMPLE SATILIK DÜKKANLI APARTMAN.!",4,2,Klima,400.0,45.500.000 TL,
GÜZELOBA MAHALLESİNDE 7 ADET 1+1 OLARAK TASARLANMIŞ SATILIK BİNA,3,2,Klima,300.0,15.250.000 TL,
MURATPAŞA GÜZELOBA DA SAHİLE 3. SIRADA SATILIK KOMPLE BİNA,4,1,Klima,450.0,29.500.000 TL,
Kemer Göynükte 601m2 Arsa İçerisinde 4 Daireli Bina CAN-İŞ EMLAK,3,1,Klima,420.0,17.150.000 TL,
Antalya Barınaklar Bitişik Nizam Fırsat Bina İşyeri ne Uygun,2,1,Klima,260.0,32.500.000 TL,
SİDE MERKEZ'DE EN İŞLEK YERLERİNDEN BİRİNDE KAÇINILMAZ FIRSAT !,1,5 +,Klima,838.0,69.500.000 TL,
Evrenseki Mahallesi,2,1,Soba,185.0,22.500.000 TL,
KIRKGÖZ YENİKÖY MAH.'SİNDE 425M2 ARSA İÇİNDE 2KATLI SATILIK BİNA,2,1,Doğalgaz (Kombi),425.0,7.150.000 TL,
RİBA'DAN IŞIKLAR'DA SATILIK KOMPLE BİNA,3,1,Yok,450.0,20.650.000 TL,
"4 adet 1+1, 1 adet 3+1 daire,denize 300 M.bahçeli,mü­stakil,bina,",3,2,Klima,690.0,15.250.000 TL,
Şarampol'de Muhteşem Konumda Kurumsal Kiracılı Satılık Bina,3,1,Klima,330.0,52.500.000 TL,
Antalya Döşemealtı Yeni Devlet hastanesi Yakını Satılık Bina,2,1,Klima,506.0,10.750.000 TL,
CANAN KOSEOGLU'NDAN BARINAKLARDA PARKA CEPHE KOMPLE SATILIK BİNA,3,1,Klima,240.0,20.000.000 TL,
Alanya Mahmutlar Satılık Villa Arsası,3,1,Yok,172.0,800.000 TL,
ÇAĞLAYAN'DA 410 M2 ARSA İÇİNDE 1100 M2 KOMPLE SATILIK BİNA,3,5 +,Klima,1.0,83.000.000 TL,
1040 M2 üzerine kurulu 160 M3 den oluşan 3 katlı sıfır bina,3,1,Klima,160.0,21.000.000 TL,
KEPEZ KÜLTÜR'DE SATILIK APART,5,5 +,Klima,55.0,41.000.000 TL,
KORKUTELİ-AŞAĞIPAZAR MAH.DE SATILIK BİNA,3,1,Klima,170.0,4.250.000 TL,
ESKİ LARA YOLUNA 2.PARSEL SÜPER LOKASYONDA KOMPLE BİNA,3,2,Yok,628.0,49.500.000 TL,
ANTALYA ELMALI ATATÜRK CADDESİ ÜZERİ KOMPLE 2 KATLI BİNA,2,1,Soba,200.0,5.700.000 TL,
ANTALYA'NIN EN İŞLEK CADDESİ ÜZERİNDE 360 M2 SATILIK DÜKKAN,3,1,Klima,360.0,32.000.000 TL,
Antalya Manavgat Çolaklı da satılık KOMPLE BİNA,4,1,Klima,295.0,15.000.000 TL,
Sahibinden Satılık Bina,3,1,Yok,390.0,12.000.000 TL,
BELEK'TE ANAYOL ÜZERİ SATILIK 1.200 M2 MÜSTAKİL BİNA,2,2,Klima,1.2,34.500.000 TL,
F. ÇAKMAKTA 5 DAİRELİK KOMPLE SATILIK BİNA,5,1,Klima,95.0,11.750.000 TL,
BELEKTE SATILIK KELEPİR 2 DAİRE 3 DÜKKAN,3,2,Klima,400.0,12.000.000 TL,
,,,,,,
YENİDOĞANDA CADDE ÜSTÜ SATILIK KOMPLE BİNA,2,1,Doğalgaz (Kombi),600.0,13.500.000 TL,
ANTALYA KEPEZ YENİEMEK TE 3 KATLI KOMPLE SATILIK BİNA,3,1,Klima,500.0,9.900.000 TL,
ÜNİVERSİTE KARŞISI KOMPLE TİCARİ SATLIK BİNA,3,1,Soba,175.0,12.000.000 TL,
ODABAŞIN'DA MÜSTAKİL 3 KATLI BİNA + 1 DÖNÜM ARSASI + KONTEYNER,3,1,Klima,1.0,11.500.000 TL,
KEMER'DE HAVUZLU KÖŞE PARSEL SATILIK KOMPLE BİNA,5,1,Klima,700.0,31.500.000 TL,
L'İST TEN SARILARDA SATILIK MUSTAKİL BİNA ARSASI 236M2,2,1,Klima,175.0,5.100.000 TL,
KEMERAĞZINDA VATANDAŞLIĞA UYGUN 58 metre² (6 ADET) 1+1 DAiRE,2,3,Klima,58.0,25.000.000 TL,
Ilıca'da komple satılık lojman/ev çevre yoluna bir arsa mesafede,4,2,Soba,500.0,22.500.000 TL,
ULUALAN DA 3 KATLI 500 M2 ÜZERİNE KURULU KOPLE BİNA!!,3,1,Soba,145.0,8.750.000 TL,
ALANYA ŞEHİR MERKEZİNDE SATILIK KOMPLE BİNA VATANDIŞLIĞA UYGUN,5,1,Klima,288.0,27.500.000 TL,
C21 HAN ANTALYA DÖŞEMEALTI YENİKÖY KİRACILI SATILIK BİNA,3,2,Doğalgaz (Kombi),90.0,22.450.000 TL,
LARA BARINAKLAR'DA SATILIK KOMPLE BİNA,3,1,Klima,780.0,79.000.000 TL,
POPÜLER CADDE ÜSTÜ KÖŞEBAŞI KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),350.0,32.000.000 TL,
KAŞ-GÖMBE MEYDANINDA SATILIK DÜKKAN + EV,2,1,Yok,45.0,2.700.000 TL,
Kaleiçi Satılık Mülk,2,1,Klima,205.0,29.000.000 TL,
ESKI LARA CADDESINE CEHPE 5 KAT İŞYERİ 765M2. KİRADA,5,1,Klima,765.0,90.000.000 TL,
MG EMLAK TAN SATILIK KOMPLE BİNA.,3,2,Klima,120.0,16.000.000 TL,
ESKİ SANAYİ MERKEZİNDE YATIRIMLIK 7 KATA İMARLI EŞSİZ İŞYERİ,7,1,Klima,470.0,20.000.000 TL,
Deniz manzaralı 14 daire,3,4,Klima,750.0,110.000.000 TL,
SAHIBINDEN SATILIK 3 KATLI BİNA,3,1,Klima,333.0,9.000.000 TL,
COŞKUNSU EMLAKTAN FENERDE TERRACİTY AVM ARKASI KOMPLE BİNA,2,2,Yok,700.0,31.000.000 TL,
emlakoffice'den ANTALYA SERİK'te KOMPLE SATILIK 3 ADET DAİRE,3,1,Doğalgaz (Kombi),700.0,28.250.000 TL,
YAVRUDOĞAN MH. SATILIK 7 BAĞIMSIZ DAİRE 220 KİŞİLİK (LOJMAN),8,1,Klima,1.2,57.000.000 TL,
LARA ERMENEK TE SATILIK 3 KATLI VİLLA OĞRETMENLER SIT. 9 YAŞİNDA,3,1,Doğalgaz (Kombi),250.0,14.100.000 TL,
ANTALYA BAU ALTINTAŞ TA KOMPLE SATILIK ARSA VE SIFIR BİNA,4,4,Klima,1.306,75.000.000 TL,
YATIRIMLIK KOMPLE BİNA,3,2,Soba,660.0,24.000.000 TL,
DENİZ MANZARALI KOMPLE SATILIK YATIRIMLIK BİNA,3,1,Soba,655.0,7.250.000 TL,
MANAVGAT SİDEDE KOMPLE BİNA SATILIK,3,3,Klima,320.0,14.250.000 TL,
TİNY HOUSE 2.5x8 m LOFT KATLI VE TERASLI,1,1,Klima,45.0,650.000 TL,
Sahibinden adliyeye ve seyir terasına yakın 3 katlı ev,3,1,Kalorifer,454.0,5.050.000 TL,
421m2 ÜZERİ SATILIK BİNA ( ARAÇ TAKASLI ),3,1,Klima,150.0,6.500.000 TL,
DÖŞEMEALTI BAHÇEYAKADA 3 KATLI 2+1 BAĞIMSIZ BÖLÜM KOMPLE SATILIK,3,1,Klima,548.0,11.500.000 TL,
DÖŞEMEALTI BAHÇEYAKA'DA 6 ADET 1+1'DEN OLUŞAN SATILIK BİNA,3,2,Klima,366.0,12.000.000 TL,
ALANYA KALE YAMACINDA SATILIK KOMPLE BİNA,4,1,Klima,400.0,55.000.000 TL,
GÜZELOBA MAH. 1.230 M2 ARSA ÜZERİNDE KURULU BİNA 100.000.000 TL,2,2,Klima,1.23,100.000.000 TL,
ALANYA ÇARŞI MAH.İSKELE CAD.SATILIK TARİHİ KONAK,2,1,Klima,236.0,89.999.000 TL,
GÜZELOBA'DA DENİZE 2 KM UZAKLIKTA EŞYALI SATILIK BİNA !,4,5 +,Klima,900.0,65.000.000 TL,
VİLLA FİYATINA APART YAPMAYA MÜSAİT 6 DAİRELİ SIFIR BİNA,3,2,Klima,170.0,19.000.000 TL,
Uygun fiyata satılık bina,3,2,Klima,200.0,38.250.000 TL,
SATILIK KOMPLE BİNA . ANTALYA ŞEHİR MERKEZİ,2,3,Klima,400.0,30.450.000 TL,
