2,3,4,5,6,7
2,1,0,208,17000000,7
4,1,1,120,6280000,7
3,3,2,127,1600000,7
3,1,1,120,4500000,7
4,2,1,110,17500000,7
2,1,3,120,7600000,7
3,1,3,75,6500000,7
2,1,2,80,3000000,7
5,1,3,102,5525000,7
4,1,2,166,7200000,7
3,1,1,213,18500000,7
3,1,1,330,29650000,7
2,1,0,141,5500000,7
4,1,2,73,3250000,7
4,1,0,100,5500000,7
2,3,3,100,2500000,7
2,1,4,110,3500000,7
3,1,1,110,5180000,7
2,1,2,160,1750000,7
1,1,0,119,3100000,7
2,2,0,249,26500000,7
2,1,1,112,3900000,7
4,1,1,162,17000000,7
4,1,0,100,4685000,7
2,1,3,200,2750000,7
2,1,0,110,7850000,7
3,1,1,310,4250000,7
2,1,0,132,2750000,7
3,1,1,110,1725000,7
5,1,1,130,13850000,7
3,1,1,100,5250000,7
4,4,3,2,68000000,7
2,1,1,362,31500000,7
3,2,3,300,15250000,7
3,1,2,1,18500000,7
2,1,3,300,28750000,7
2,1,3,306,8700000,7
5,2,3,220,35000000,7
4,4,3,70,4500000,7
3,,0,350,8400000,7
2,2,3,620,52000000,7
6,1,0,1,28500000,7
4,4,3,550,28500000,7
2,1,2,241,5475000,7
3,3,3,140,9450000,7
3,1,1,357,42000000,7
3,,3,250,36000000,7
3,,3,650,39500000,7
4,1,3,950,45000000,7
3,2,3,450,45000000,7
1,1,0,850,55000000,7
2,1,3,255,5000000,7
4,1,0,130,12500000,7
3,1,3,442,12500000,7
4,4,3,50,34000000,7
6,2,3,80,60000000,7
4,2,5,1,30000000,7
2,,3,800,53000000,7
4,2,3,400,45500000,7
3,2,3,300,15250000,7
4,1,3,450,29500000,7
3,1,3,420,17150000,7
2,1,3,260,32500000,7
1,,3,838,69500000,7
2,1,2,185,22500000,7
2,1,1,425,7150000,7
3,1,0,450,20650000,7
3,2,3,690,15250000,7
3,1,3,330,52500000,7
2,1,3,506,10750000,7
3,1,3,240,20000000,7
3,1,0,172,800000,7
