_1,_2,_3,_4,_5,_6,_7
HALKALI MERKEZ MAH SATILIK İŞYERİ BİNASI VE YANINDA BOŞ ARSA,7,1,Doğalgaz (Merkezi),3.450,97.000.000 TL,
İSTANBUL ATAŞEHİR'DE YATIRIM FIRSATI SATILIK KOMPLE BİNA,2,4,Doğalgaz (Kombi),1.140,125.000.000 TL,
4.LEVENT TE SATILIK İKİ AYRI BİNA KAT KARŞILIĞI DEĞERLENDİRİLİR,6,1,Doğalgaz (Kombi),95,19.000.000 TL,
,,,,,,
B.DÜZÜ KAVAKLI DA 1100 M2 ARSA İÇİNDE 5 KATLI İSKANLI BİNA,4,1,Doğalgaz (Kombi),1.100,69.500.000 TL,
Beylikdüzü Kristalşehir Site İçerisinde 1400 m. Satılık Bina,2,2,Doğalgaz (Kombi),1.450,75.000.000 TL,
ABN 'den Bebek Sahile 100m uzaklıkta 1500m2 Satılık Komple Bina,4,2,Doğalgaz (Merkezi),1.500,200.000.000 TL,
8 EMLAK 'TAN TAKSİM'İN GÖBEĞİNDE 6 KATLI KOMPLE BİNADA,6,1,Doğalgaz (Merkezi),600,35.000.000 TL,
İCADİYE KUZGUNCUK MEVKİİNDE 240M2 4 KATLI KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),240,18.500.000 TL,
ŞİŞLİ CAMİSİNİN KARŞI SOKAĞINDA SATILIK KOMPLE BİNA,7,5 +,Doğalgaz (Merkezi),500,33.500.000 TL,
İSTANBUL ARNAVUTKÖYDE HARİKA KONUMDA SATILIK BİNA,5,1,Doğalgaz (Kombi),500,18.850.000 TL,
TEKSTİLİN MERKEZİNDE SATILIK 5 KATLI BİNA,5,1,Kalorifer,90,49.000.000 TL,
HARİKA YATIRIM FIRSATI KARTAL TOPSELVİ'DE SATILIK KOMPLE BİNA,2,2,Doğalgaz (Kombi),436,7.820.000 TL,
şişli mecidiyeköy de satılık komple 4 katlı ticari bina,4,2,Doğalgaz (Kombi),548,54.000.000 TL,
SAHİBİNDEN KARTAL E5 DE / ÇOK İYİ KONUMDA / İYİ KİRA GETİRİLİ,5,1,Doğalgaz (Kombi),521,17.900.000 TL,
AVCILAR YEŞİLKENT MAHALLESİNDEN ACİL SATILIK BİNA,5,1,Doğalgaz Sobası,150,8.120.000 TL,
HARİKA MANZARALI ÇOK SAKİN VE NEZİH BİR SOKAKTA SATILIK BİNA,5,1,Doğalgaz (Kombi),213,13.000.000 TL,
BEŞİKTAŞ ORTAKÖYDE SAHİLE YAKIN YÜKSEK KİRA GETİRİLİ BİNA,4,1,Doğalgaz (Kombi),165,13.000.000 TL,
MECİDİYEKÖY'DE TRUMP TOWER YANINDA 5 KATLI BİNA KOMPLE SATILIK,5,1,Doğalgaz (Kombi),2.000,170.000.000 TL,
Avcılarda E-5 Cepheli Reklam Gücü Çok Yüksek 1.000m2 Bina,5,1,Yok,1.000,69.000.000 TL,
ÇAPA ŞEHREMİNİ SATILIK KOMPLE BİNA,5,1,Doğalgaz (Kombi),450,16.500.000 TL,
3 daire 2 dükkan,4,2,Doğalgaz (Kombi),98,5.750.000 TL,
BUYUKÇEKMECE'DE SATILIK BINA kira getirisi 30.000 TL,5,1,Doğalgaz (Kombi),110,4.400.000 TL,
ÇEKMEKÖY ÇATALMEŞE MAHALLESİNDE SATILIK MÜSTAKİL EV,1,1,Doğalgaz (Kombi),140,7.750.000 TL,
Büyükada da bahçeli üç daireden oluşan satılık bina.,3,1,Doğalgaz (Kombi),80,8.000.000 TL,
SAHİBİNDEN ACİL SATILIK AİLE BİNASI,4,1,Doğalgaz (Kombi),158,12.500.000 TL,
DENGEİUM'DAN B.TELSİZ MAH İSKİ CAD. SATILIK MÜSTAKİL KOMPLE BİNA,5,1,Doğalgaz (Kombi),300,92.000.000 TL,
SAHİBİNDEN CADDE ÜSTÜ SATILIK ARSA - BİNA,2,1,Doğalgaz (Kombi),560,39.000.000 TL,
BERRAK DENİZ BALAT 3 STOREY CITIZENSHIP DEED 68M2 GRADE SESSION,3,1,Doğalgaz (Kombi),68,10.200.000 TL,
DENGEİUM'DAN TRAMVAY CADDESİNDE 7 KATLI 500m² ASANSÖRLÜ 2 PLAZA,7,1,Klima,500,70.000.000 TL,
KUMBURGAZ E5'E YAKIN 400 M2 KÖŞE BİNA,3,1,Doğalgaz (Kombi),400,11.000.000 TL,
TAMİRHANE ÇINAR CD. CEPHELİ 400M2 ARSALI BİNA 250.000 TL GETİRİR,4,4,Doğalgaz (Kombi),400,56.000.000 TL,
SANCAKTE SAMANDIRA DA SATILIK BİNA,4,1,Doğalgaz (Kombi),211,8.000.000 TL,
YK GAYRİMENKUL'DEN SATILIK BİNA 201M2 ARSA 2 ADT 2+1 2 ADT 1+1,2,4,Doğalgaz (Kombi),300,7.750.000 TL,
SARIGAZİ-4 KATLI BİNA-260M2 ARSA PAYI-5 DAİRE MÜKEMMEL KONUM!!,4,1,Doğalgaz (Kombi),260,11.000.000 TL,
TUZLA ŞİFA MAH. YATIRIMLIK 4 KATLI SATILIK BİNA,4,1,Doğalgaz (Kombi),450,6.850.000 TL,
TEK YETKİLİ HALASKARGAZİ CAD.HİDAYET SK 6 KTLI DÜKKAN'LI BİNA,6,1,Doğalgaz (Kombi),85,30.000.000 TL,
İDEALTEPE MİNİBÜS CADDESİ ÜZERİNDE MUHTEŞEM KONUMDA SATILIK ARSA,1,1,Doğalgaz (Kombi),294,27.000.000 TL,
YILMAZ EMLAK ORTAKÖYDE MERKEZDE SATILIK 5 DAİRE Lİ BİNA,5,1,Doğalgaz (Kombi),375,13.500.000 TL,
Fatih Emlak'tan 3 kat 73m2 9 / 50 imarlı 4.500.000 tl.,3,1,Doğalgaz (Kombi),73,4.500.000 TL,
Çok Uygun Merkezi Konum Yok Doğalgaz (Kombi) Bina Geniş,1,1,Doğalgaz (Kombi),140,7.530.000 TL,
HARAÇCIDA MÜKEMMEL KONUMDA 3 KATLI BİNA,3,1,Doğalgaz (Kombi),150,10.500.000 TL,
REEL İSTANBULDAN AYDINLI MERKEZDE SATILIK KOMLE BİNA,4,2,Doğalgaz (Kombi),400,14.000.000 TL,
Rumelihisar Üstü Merkezi Konumda Satılık Komple Bina,2,2,Doğalgaz (Kombi),320,14.000.000 TL,
MUTLUOL PROJEDEN SANAYİ BÖLGESİNDE NET 480 M2 ARSA ÜZERİNDE BİNA,2,1,Yok,480,25.000.000 TL,
OTEL VE İŞ YERİNE UYGUN AKDENİZ CAD.100 M. KOMPLE SATILIK BİNA !,5,1,Doğalgaz (Kombi),400,20.500.000 TL,
EM-OF EMLAK'TAN BAĞCILAR'IN EN YOĞUN BÖLGESİNDE SATILIK BİNA,5,5 +,Doğalgaz (Merkezi),1.176,82.500.000 TL,
ŞAHİNLER İNŞ EMLAKDAN SATILIK KOMPLE BİNA 7 DAİRE 3 DÜKKAN,4,2,Doğalgaz (Kombi),260,22.000.000 TL,
Beykoz Çubuklu Kireçocağı Caddesinde 360 m² Satılık komple bina,3,1,Doğalgaz (Kombi),360,14.500.000 TL,
BAĞCILAR KEMALPAŞA MH. SATILIK 3 KATLI BİNA ACİL,3,1,Doğalgaz (Kombi),108,5.520.000 TL,
ZARİF GAYRİMENKUL'DEN 172M2 ARSALI 7 DAİRE 1 DÜKKAN BİNA...,4,2,Doğalgaz (Kombi),172,13.000.000 TL,
SAHİBİNDEN SATILIK BİNA,3,1,Doğalgaz (Kombi),200,7.530.000 TL,
