_1,_2,_3,_4,_5,_6,_7
Beyoğlu Dolapdere'de 4 Katlı Bahçeli Bina,4,1,Doğalgaz Sobası,110,20.000.000 TL,
Bağlarbaşında Komple Satılık Bina,4,2,Doğalgaz (Kombi),500,36.000.000 TL,
BAKIRKÖY SAKIZAĞACI'NDA KOMPLE YENİLENMİŞ SATILIK TARİHİ BİNA...,2,1,Doğalgaz (Kombi),260,22.000.000 TL,
,,,,,,
MALTEPE GÜLENSU DA FUL DENİZ MANZARALI SATILIK 3 KATLI BİNA,3,1,Doğalgaz (Merkezi),102,5.500.000 TL,
Bebek Arnavutköy Caddesi Üzerinde Satılık 350m2 Bina,4,1,Doğalgaz (Kombi),350,210.000.000 TL,
KAYIŞDAĞI MAH.KOMPLE BİNA,4,1,Doğalgaz (Kombi),600,19.850.000 TL,
Esenyurt Cadde Üzeri Satılık Bina,5,2,Doğalgaz (Kombi),232,13.000.000 TL,
İKİTELLİ MEHMET AKİF MALL OF İSTANBUL KARŞISI SATILIK BİNA,4,4,Doğalgaz (Kombi),450,9.700.000 TL,
KAĞITHANE GÜLTEPE'NİN MERKEZİNDE YATIRIMLIK KOMPLE SATILIK BİNA,3,1,Doğalgaz (Kombi),240,6.600.000 TL,
YEŞİLYURT EMLAK'TAN HALASKARGAZİ CADDESİNDE SATILIK KOMPLE BİNA,5,1,Doğalgaz (Merkezi),195,145.600.000 TL,
MİTRA GAYRİMENKUL'DEN ZEKERİYAKÖY'DE KOMPLE SATILIK BİNA,2,1,Doğalgaz (Kombi),350,15.000.000 TL,
Dudullu Bostancı metrosuna Modokoya 5 dakika konumda köşe bina,4,1,Doğalgaz (Kombi),188,13.150.000 TL,
FATİH EMLAK'TAN CADDE CEPHELİ SATILIK KÖŞE BİNA,5,2,Doğalgaz (Kombi),215,25.750.000 TL,
SATILIK KOMPLE BİNA.SULTANGAZİ 50. YIL MAH.4 KATLI ve 335m².,4,1,Doğalgaz (Kombi),335,11.000.000 TL,
ŞİŞLİ'DE BİR APARTIMAN...,7,1,Doğalgaz (Kombi),900,43.000.000 TL,
ACİLL 2 ADET BİNAMİZ TEK FİYAT SATILIK 13.500.000TL,5,1,Doğalgaz (Kombi),50,13.500.000 TL,
8 KATLI BİNA 12 DAİRE 3 DUBLEKS 2 DÜKKANLI 1.CEBECİ CADDESİNDE,8,3,Doğalgaz (Kombi),2.500,88.000.000 TL,
PİERRE LOTİ ÇOK YAKIN 5 KATLI BİNA YAZ BAHÇRLİ ŞEHİR MANZARALI,5,1,Doğalgaz (Kombi),540,20.000.000 TL,
Galata Serdarı Ekremde Mimari Dekorasyonlu Komple Airbnb Binası,5,1,Yerden Isıtma,450,65.000.000 TL,
Harika konumda sahibinden satılık bina,3,1,Doğalgaz (Kombi),189,10.000.000 TL,
BEYKOZ ÇAVUŞBAŞI ÇİFTLİK MAH KOMPLE BİNA,3,1,Doğalgaz (Kombi),1.500,115.000.000 TL,
Fırsat Komple Satılık Bina,5,1,Doğalgaz (Kombi),178,47.000.000 TL,
Meclis Mahallesinin satılık en güzel plazası,4,1,Doğalgaz (Merkezi),720,22.000.000 TL,
"heybeli'de sorunsuz, rekonst.projeye uygun 3/4 tamam harika bina",3,1,Doğalgaz (Kombi),450,16.000.000 TL,
REMAX MURAT TAYLAN'DAN BEYOĞLU BALO SOKAK'TA 900 M2 TARİHİ BİNA,7,1,Yok,900,59.000.000 TL,
GG GÖZDEM'DEN Tarabya Sahilde 6 Katlı Satılık Bina,6,1,Doğalgaz (Kombi),520,65.000.000 TL,
BEYOĞLU TAKSIME. 5 DAKIKA,3,1,Soba,138,4.000.000 TL,
KIZILELMA BP YANI MÜKEMMEL YATIRIMLIK KREDİYE UYGUN SATILIK BİNA,3,1,Doğalgaz (Kombi),180,7.750.000 TL,
İlke Sanlı 'dan Zincirlikuyu Esentepe Mahallesinde Satılık Bina,5,1,Doğalgaz (Kombi),1.000,190.000.000 TL,
BAĞCILAR 15 TEMMUZ MAHALLESİNDE KOMPLE SATILIK BİNA ARSA 124 M2,2,1,Doğalgaz (Kombi),124,8.500.000 TL,
KURTKÖY MERKEZDE SATILIK İSKANLI BİNA,4,1,Doğalgaz (Kombi),500,21.500.000 TL,
Taksim satılık bina,4,1,Doğalgaz (Kombi),45,35.000.000 TL,
ATAŞEHİR ÖRNEK MAH. CADDE ÜZERİ SATILIK BİNA,2,2,Doğalgaz (Kombi),278,30.200.000 TL,
GALATA SERDAR-I EKREM' DE SATILIK BİNA,3,2,Doğalgaz (Kombi),300,39.750.000 TL,
ATAŞEHİR ACIBADEM ÜNİVERSİTESİ SATILIK PLAZA İSKANLI MÜLKİYETLİ,5,1,Doğalgaz (Kombi),450,36.750.000 TL,
"İstanbul kağıthane""de satılık butik otel",8,4,Doğalgaz (Kombi),608,30.000.000 TL,
BEYOĞLU SÜTLÜCEDE SATILIK 100m İKİ KATLI BİNA,2,1,Doğalgaz (Kombi),100,11.000.000 TL,
ŞİŞLİ DE ÖZEL TASARLANILMIŞ 2 KATLI AIRBNB UYGUN YENİ SATILIK EV,2,2,Klima,140,4.990.000 TL,
Ümraniye Madenler Mah. 4 Katlı Komple Satılık Bina,4,1,Yok,1.330,132.000.000 TL,
ARNAVUTKÖY BELEDİYESİ'NİN KARŞISINDA SATILIK İŞ MERKEZİ,4,2,Doğalgaz (Kombi),900,27.000.000 TL,
FİYAT TEKLİFİNE AÇIK TRİBLEX ÖZEL YAPI,4,1,Doğalgaz (Kombi),350,11.500.000 TL,
Sahibinden Satılık Hürriyet Mahallesinde Boş Bina,4,1,Doğalgaz (Kombi),121,9.935.000 TL,
KARTAL TOPSELVİ MAHALLESİNDE 190M2 ARSA İÇERSİNDE SATILIK BİNA,4,1,Doğalgaz (Kombi),190,6.500.000 TL,
FERAY EMLAK'TAN ÜMRANİYE ALTINŞEHİRDE 7 DAİRELİ MÜSTAKİL BİNA !!,4,2,Doğalgaz (Kombi),200,13.000.000 TL,
TUZLA MERKEZ İÇMELER KÖPRÜSÜ YAKININDA 240 m2 5 kat bina,6,2,Doğalgaz (Kombi),240,49.250.000 TL,
MÜKEMMEL KONUMDA YATIRIMLIK BİNA,4,1,Doğalgaz (Kombi),250,11.500.000 TL,
YUVAKGİL İNŞATTAN BAKIRKÖY DE KOMPLE BLOK 9 KATLI BİNA 3000M2,8,1,Kalorifer,3.000,105.000.000 TL,
SULTANGAZİ CEBECİ KOMPLE SIFIR YENİ YAPILAN BİNA,5,1,Doğalgaz (Kombi),75,14.750.000 TL,
ALTINŞEHİR METRO DURAGİ ARKASİNDA KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),500,18.000.000 TL,
"Bakırköy, Şenlikköy'de Komple Satılık Bina.",3,2,Doğalgaz (Kombi),500,49.500.000 TL,
