_1,_2,_3,_4,_5,_6,_7
SARIYER TARABYA'DA SAHİLE 25 METRE MESAFEDE KOMPLE SATILIK BİNA,2,1,Doğalgaz (Kombi),48,15.400.000 TL,
KADIKÖY'DE TABELA DEĞERİ YÜKSEK KOMPLE SATILIK TİCARİ BİNA,4,1,Doğalgaz (Kombi),370,140.000.000 TL,
Nişantaşı Zafer Sokak'ta Komple Satılık Bina,5,1,Doğalgaz (Kombi),550,39.000.000 TL,
,,,,,,
GALATAPORT VE DENİZ MANZARALI FUL TADİLATLI OTEL VE KONUTA UYGUN,7,2,Doğalgaz (Kombi),1.078,140.000.000 TL,
FATİH 'DE LÜX YAPILI SATILIK KOMPLE BİNA,5,1,Yerden Isıtma,60,11.000.000 TL,
BAĞCILAR YENİMAHALLE'DE KOMPLE SATILIK BİNA ARSA ALANI 148 M2,2,1,Doğalgaz (Kombi),148,8.000.000 TL,
SULTANGAZİ 6 KATLI 5000m2 KAPALI ALAN ÇİFT ASANSÖRLÜ KOMPLE BİNA,6,1,Doğalgaz (Kombi),5.000,149.500.000 TL,
CİHANGİRDE BOĞAZ MANZARALI 7 KATLI SATILIK BİNA,7,2,VRV,475,83.250.000 TL,
BEYOĞLU KARAKÖYDE GALATAPORT YAKINI SATILIK KOMPLE BİNA,7,1,Doğalgaz (Merkezi),1.850,172.000.000 TL,
REMAX MASAL'DAN KAĞITHANE AXIS AVM KARŞISI KİRACILI SATILIK BİNA,3,1,Yok,1.660,52.000.000 TL,
Sahibinden Satılık Bina,2,1,Doğalgaz (Kombi),160,11.750.000 TL,
BEŞYOL EMLAKTAN BAĞLAR CADDESİNİN EN İŞLEK YERİ 8 DAİRE 2 DÜKKAN,3,2,Doğalgaz (Kombi),173,31.360.000 TL,
HALASKARGAZİ CADDESİ ÜZERİNDE YATIRIM DEĞERİ YÜKSEK KOMPLE BİNA,7,1,Doğalgaz (Merkezi),1.963,113.000.000 TL,
"ZEYTİNBURNU TELSİZ MAH ,TİCARİ İMARLI İSKANLI BİNA",5,5 +,Doğalgaz (Kombi),1.270,105.000.000 TL,
Satılık Kadıköy Bostancı'da Müstakil Bina,3,1,Doğalgaz (Kombi),114,66.000.000 TL,
FIRSAT ACIBADEM ÜNV. ARKASINDA 5 KAT. SATILIK BİNA 11.600.000TL.,5,1,Doğalgaz (Kombi),430,11.600.000 TL,
Gaziosmanpaşa Salihpaşa Cadde Üzeri Satılık 1600 m2 Ticari Bina,7,1,Doğalgaz (Kombi),1.600,45.000.000 TL,
BEYOĞLU TAKSİMDE BUTİK HOTEL YAPIMINA UYGUN BİNA,4,1,Yok,130,9.875.000 TL,
"BAĞLARBAŞI MERKEZDE METRO,NUN DİBİNDE KOMPLE BİNA",3,1,Doğalgaz (Kombi),66,150.000.000 TL,
İSTANBUL-ZEY­TİNBURNU'NDA KOMPLE SATILIK TİCARİ BİNA,9 +,5 +,Doğalgaz (Merkezi),7.125,375.000.000 TL,
Fatih Samatya Kocamustafapaşa'da Komple Satılık Bina,2,1,Doğalgaz (Kombi),45,9.000.000 TL,
LIBADIYE ANA CADDE 0 KOMPLE BINA 6 DAIRE 2 DUKKAN (TEK YETKİLİ),4,2,Doğalgaz (Kombi),1.000,53.500.000 TL,
BÜYÜKDEREDE EŞSİZ BOĞAZ MANZARALI PROJELİ KUPON BİNA,4,2,Doğalgaz (Kombi),700,65.000.000 TL,
