_1,_2,_3,_4,_5,_6,_7
50.YIL MAHALLESİNDE BİNA KREDİYE UYGUN 4 ADET DAİRE 2 ADT DÜKKAN,6,1,Doğalgaz (Kombi),135,12.600.000 TL,
KARTALTEPE BİLGEHAN CAD SATILIK 12 DAİRE 2 DÜKKAN KOMPLE BİNA,4,3,Yerden Isıtma,1.500,55.000.000 TL,
PENDIK YAYALAR 204 M2 3 KATLI MUSTAKIL CADDE UZERI SATILIK BINA,3,3,Doğalgaz (Kombi),120,5.100.000 TL,
,,,,,,
"İNÖNÜ MAHALLESİNDE, İYİ LOKASYONDA BİNA",2,2,Soba,550,10.500.000 TL,
KUMBURGAZ MERKEZDE,3,1,Doğalgaz (Kombi),120,17.700.000 TL,
ŞAH MURAT EMLAK TAN ORKİDE SOKAKTA SATİLİK BİNA,5,1,Doğalgaz (Kombi),500,28.500.000 TL,
BEYKOZ ÇUBUKLUDA YATIRIMLIK SATILIK BİNA VE ARSASI,4,2,Soba,635,17.000.000 TL,
ALEMDAĞ CADDESİ KOMPLE SATILIK BİNA,5,2,Doğalgaz (Kombi),320,75.000.000 TL,
BÜYÜKÇEKMECE TÜRKOBA'DA MERKEZİ KONUMDA SATILIK 3 KATLI BİNA,3,1,Doğalgaz (Kombi),310,10.000.000 TL,
MENDERES MH İNÖNÜ CADDESİNE YAKIN 123m² SATILIK BİNA █YAPISAT█,5,1,Doğalgaz (Kombi),123,8.500.000 TL,
YENİKÖY KÖYBAŞI CADDESİ ÜZERİNDE SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),250,38.000.000 TL,
HAS BAHADIR DAN SATILIK BİNA İKİ DAİRE MEVCUT ARSASIYLA BERABER,2,1,Doğalgaz (Kombi),215,6.750.000 TL,
BEYOĞLUNDA 6 KAT OTELE UYGUN FIRSAT BİNA TERASLI DENİZ MANZARALI,6,1,Doğalgaz (Kombi),380,32.500.000 TL,
"Sahibinden, 2023 yapımı",4,2,Kalorifer,1.500,54.000.000 TL,
KAĞITHANE MERKEZDE 1400m² SATILIK 6 KATLI BİNA,6,3,VRV,1.600,50.000.000 TL,
KUMKAPI 4 KATLI 72m2 TABAN KOMPLE SATILIK BİNA,4,2,Doğalgaz (Kombi),72,12.500.000 TL,
"Bayrampaşa'nın En Mükemmel Yerinde, Satılık Bina",5,1,Doğalgaz (Kombi),120,12.770.000 TL,
GAZİOSMANPAŞA MEYDAN 1000m² KAPALI ALANLI 5 KATLI ASANSÖRLÜ BİNA,5,1,Doğalgaz (Kombi),1.000,54.500.000 TL,
BULGURLU MAHALLESİNDE SATILIK İKİ KATLI BİNA,2,1,Klima,86,5.400.000 TL,
KARİYE'DE SATILIK 4-KATLI BAHÇELİ BETONARME BİNA,4,1,Doğalgaz (Kombi),300,12.000.000 TL,
"Şişli, Elmadağ Caddeye Taksime Yakın Aparta Uygun Satılık Bina",4,1,Doğalgaz (Kombi),350,11.000.000 TL,
KADIKÖY MERKEZDE SAHİBİNDEN SATILIK BAHÇELİ BİNA,4,1,Doğalgaz (Kombi),430,98.000.000 TL,
KADIKÖY TİCARETİN MERKEZİNDE İSKANLI 350 M2 KOMPLE SATILIK BİNA,4,3,Doğalgaz (Kombi),350,24.000.000 TL,
Bina Ferah Çok Uygun Yok Doğalgaz (Kombi) Açık Otopark Son 3 gün!,2,1,Doğalgaz (Kombi),215,8.500.000 TL,
BÜYÜKÇEKMECE TÜRKOBA KOMPLE 4 KATLI BİNA SATILIK FIRSAT!!!,4,2,Doğalgaz (Kombi),110,25.000.000 TL,
ALİBEYKÖY ÇIRÇIR'DA KOMPLE SATILIK 6 KATLI BİNA,6,2,Doğalgaz (Kombi),170,26.500.000 TL,
ŞİŞLİ'DE SES'TEN MERKEZ'DE SATILIK TİCARİ İMARLI BİNA,6,2,Doğalgaz (Kombi),291,65.000.000 TL,
YAVUZTÜRKÜN EN GÜZELYERİNDE 3 KATLİ BİNA TOKİ GELİYORR,3,1,Doğalgaz (Kombi),300,13.500.000 TL,
BAĞCILAR BAĞLAR MAHALLESİNDE KOMPLE SATILIK 4 KATLI 460 M² BİNA,3,1,Doğalgaz (Kombi),460,8.750.000 TL,
AKŞEMSETTİN CAD. ÇOK YAKIN 164.47mt ARSALI 15/50 İMARLI BİNA,6,1,Doğalgaz (Kombi),115,27.250.000 TL,
Komple Satılık Bina,3,2,Klima,300,16.000.000 TL,
CT GAYRİMENKUL'DEN ESENTEPE'DE SATILIK KOMPLE BİNA(TEK YETKİ),4,2,Doğalgaz (Kombi),750,10.100.000 TL,
RE/MAX KULE ACİL KOMPLE SATILIK 2 BİNA VE ARSASI (ARSA 920 M2),9 +,4,Doğalgaz (Kombi),920,320.000.000 TL,
sahibinden satılık bina,6,2,Doğalgaz (Kombi),250,250.000.000 TL,
Yeditepe Aras...yurt yapımına uygun boş bina,4,1,Doğalgaz (Kombi),209,13.500.000 TL,
SATILIK BiNA 4 KATLI.,4,1,Klima,45,16.750.000 TL,
SAHİBİNDEN VİLLA GÖRÜNÜMLÜ BİNA,3,2,Yerden Isıtma,600,42.500.000 TL,
*Remax Öncü**Yusuf Kurt*F.Paşa'da Satılık Komple Bina,2,2,Doğalgaz (Kombi),309,10.000.000 TL,
Redstone Gold Kavacık Dörtyol Satılık 3 Daireli Yasal Bina,4,1,Doğalgaz (Kombi),410,21.500.000 TL,
AVCILAR MERKEZ MAHALLESİ OTEL KİRACILI SATILIK BİNA,5,1,Doğalgaz (Kombi),1.872,85.000.000 TL,
E5 Cepheli Kıymetli Konumda Fırsat Ticari Mülk,2,1,Klima,200,81.000.000 TL,
OTEL OLMAYA MÜSAİT TİCARİ RUHSATLI KOMPLE SATILIK BİNA,3,1,Doğalgaz (Kombi),1.800,35.000.000 TL,
BEŞİKTAŞ ULUS'TA EXPERT'TEN SATILIK YATIRIMLIK KAT MÜLKİYETLİ,9 +,1,Doğalgaz (Merkezi),1.470,105.000.000 TL,
KOMPLE SATILIK ASANSÖRLÜ OTOPARKLI SIFIR BİNA,6,4,Doğalgaz (Kombi),1.800,64.000.000 TL,
REDSTONE İCG 4 ADET DAİRE 1AD DÜKKAN ŞİŞLİDE KOMPLE SATILIK BİNA,6,1,Doğalgaz (Kombi),327,16.500.000 TL,
KARAGÜLLE'DEN ACİL SATILIK TUZLA ŞİFA MH.370m2ARSA PAYLI BİNA,4,1,Soba,370,9.448.000 TL,
Ardıçlıda 7 daire ve depolu dükkan,4,2,Doğalgaz (Kombi),346,18.500.000 TL,
ZEYTİNBURNU BEŞTELSİZ DE YATIRIM FIRSATI KOMPLE BİNA,4,1,Doğalgaz (Kombi),540,27.000.000 TL,
SEYMENDE DAİRE FİYATINA 3.5 KATLI BAHÇELİ BİNA DOĞALGAZLI,4,1,Doğalgaz (Merkezi),540,3.990.000 TL,
"KARTAL,YAKACIK, 370m2,SATILIK BİNA,11.475.000.-TL.",3,1,Doğalgaz (Kombi),370,11.475.000 TL,
ESENLER TUNA MAH.NEZİH SOKAĞINDA 4 KATLI SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),101,6.650.000 TL,
