_1,_2,_3,_4,_5,_6,_7
First Plan'den Beşiktaş Abbasağa'da 4 Katlı Komple Bina,4,1,Doğalgaz (Kombi),140,8.900.000 TL,
Esenyurt Kıraç'ta Hürriyet Mah. Komple Satılık Bina,4,1,Doğalgaz (Kombi),144,5.300.000 TL,
"SELİMPAŞADA BAHÇELİ, TERASLI, 4 DAİREDEN OLUŞAN 4 KATLI BİNA",4,1,Doğalgaz (Kombi),590,15.950.000 TL,
,,,,,,
"HARBİYE,DE TEMİZ KAT MÜLKİYETLİ 4 KATLI 200M2 BİNA",4,1,Doğalgaz (Kombi),200,10.800.000 TL,
BAĞCILAR MEDİPOL HASTANESİ YAKININDA SATILIK YENİ BİNA,4,1,Doğalgaz (Kombi),131,21.500.000 TL,
C21 PERFECT'TEN BAKIRKÖY FİLİZ CADDESİ ÜZERİNDE SATILIK BİNA !!!,4,1,Doğalgaz (Kombi),225,16.500.000 TL,
ÇATALCA MERKEZ'DE KOMPLE SATILIK BİNA VE BAHÇESİ 18.750.000TL,4,1,Doğalgaz (Kombi),165,18.750.000 TL,
HAN EMLAK'TAN ÜMRANİYE MODOKO CİVARINDA NATOYOLU 1500m2 KOMPLe,5,2,Doğalgaz (Kombi),1.500,25.750.000 TL,
ÜLKEM'DEN SÖĞÜTLÜÇEŞME MAH 4 KATLI İSKANLI YENİ SATILIK BİNA,4,1,Doğalgaz (Merkezi),280,7.500.000 TL,
Şişhane'de Manzaralı Satılık 4 Katlı Tarihi Bina,4,1,Doğalgaz (Kombi),305,29.500.000 TL,
KOŞUYOLU'NDA KONUT VE İŞ YERİ İÇİN UYGUN SIFIR KOMPLE BİNA,5,1,Doğalgaz (Kombi),365,28.000.000 TL,
REMAX GERÇEKTEN KEMERBURGAZ MERKEZİNDE SIFIR SATILIK BİNA,4,1,Doğalgaz (Kombi),650,70.000.000 TL,
"WESTSIDE'DAN BEYOĞLU'NDA, KÖŞE KONUMLU, 5 KATLI TARİHİ BİNA",5,1,Doğalgaz (Kombi),410,110.000.000 TL,
Ataşehir Finans Merkezi Yanı Satılık Bina,5,1,Yok,2.000,262.500.000 TL,
SULTANGAZİ 50.YIL MAH. SATILIK 7 KATLI BİNA,7,1,Doğalgaz (Kombi),120,15.000.000 TL,
PENDİK MARMARAY İSTASYON KARŞISINDA SATILIK İKİ BİNA,4,1,Doğalgaz (Kombi),1.488,350.000.000 TL,
"NOKTA'dan Deniz Manzaralı 450m2 Bahçe içinde 3,5 Katlı Bina",3,1,Doğalgaz (Kombi),450,14.000.000 TL,
'ATAKÖY POZİTİF EMLAK'AKSARAY MERKEZ DE BİNA 8 DAİRE 1 DÜKKAN,5,2,Doğalgaz (Kombi),800,36.750.000 TL,
ARNAVUTKÖY ANADOLU MAH SATILIK 5 KATLI SIFIR BİNA,5,1,Doğalgaz (Kombi),500,9.950.000 TL,
**Remax Öncü*Yusuf Kurt** Sultanbeyli Yanyol'da Satılık Bina,2,1,Soba,340,9.000.000 TL,
