_1,_2,_3,_4,_5,_6,_7
SİRKECİ / Turizm Merkezinde 5 Katlı Satılık Bina / Dükkanlı,5,1,Doğalgaz (Kombi),280,68.000.000 TL,
İSTANBUL BEYOĞLU BÜLBÜL MAHALLESİNDE SATILIK ÜÇÜZ BİNA,5,1,Doğalgaz (Merkezi),465,30.000.000 TL,
ARSLANOĞLUNDAN YELDEĞİRMENİNDE FULL YAPILI TARİHİ BİNA,4,1,Doğalgaz (Kombi),200,21.000.000 TL,
,,,,,,
BEYLERBEYİ PANORAMİK BOĞAZ MANZARALI SATILIK 11 DAİRELİ BİNA,5,2,Doğalgaz (Kombi),1.200,285.000.000 TL,
ortabayır mahallesinde satılık bina,5,1,Doğalgaz (Kombi),97,35.000.000 TL,
400.000 TL KURUMSAL KİRACILI KOMPLE SATILIK YENİ FIRSAT MÜLK,6,1,Doğalgaz (Merkezi),1.300,75.000.000 TL,
GALATA BÖLGESİNDE 2.DERECE TARİHİ ESER OTEL KONSEPTLİ KUPON BİNA,5,4,Doğalgaz (Kombi),285,19.490.000 TL,
ŞİMŞEK EMLAK'TAN KUMAŞÇILAR BÖLGESİN'DE SATILIK 5 KATLI BİNA,5,1,Doğalgaz (Kombi),400,29.000.000 TL,
"KOMPLE SATILIK BİNA 5 OFİS, DUBLEKS OFİS, DÜKKAN VE 2+1 DAİRE",4,2,Doğalgaz (Kombi),300,17.850.000 TL,
TEK YETKİLİ ORTAKÖY MECİDİYEDE 6 DAİRELİ KOMPLE SATILIK BİNA,6,1,Doğalgaz (Kombi),70,14.000.000 TL,
ATEŞ EMLAKTAN SATILIK 5 KATLI MÜSTAKİL BİNA,4,1,Doğalgaz (Kombi),225,11.000.000 TL,
SANCAKTEPE SAMANDIRA'DA 225 M2 ARSASI OLAN KOMPLE BİNA!!!,2,1,Yok,224,4.300.000 TL,
ÜSKÜDAR ÇAMLICA KISIKLI SATILIK BİNA 4KATLI DAİRELER 600M2,4,1,Doğalgaz (Kombi),600,12.500.000 TL,
İSTİKLAL CADDESİ SATILIK BİNA,6,1,Doğalgaz (Kombi),840,150.000.000 TL,
HALASKARGAZİ CADDESİ ÜZERİNDE YATIRIM DEĞERİ YÜKSEK BİNA KATLAR,7,1,Doğalgaz (Kombi),1.963,98.000.000 TL,
