_1,_2,_3,_4,_5,_6,_7
Beyoğlu İngiliz Konsolosluğunun Karşısında Satılık Köşe Bina,7,1,Doğalgaz (Merkezi),1.420,160.000.000 TL,
ATAŞEHİR FERHATPAŞA' da KOMPLE SATILIK BİNA,3,2,Doğalgaz (Kombi),206,10.200.000 TL,
YENİBOSNADA MÜKEMMEL LOKASYON DA SATILIK BİNA,5,1,Doğalgaz (Kombi),120,11.500.000 TL,
,,,,,,
MERKEZİ KONUM NİŞANCA MAH. 200m2 ARSADA 4 KATLI BİNA,4,1,Doğalgaz (Kombi),200,11.400.000 TL,
7 ADET 1+1 DAİRE 4 DANE DENİZ MANZARALI GÜZEL BİNA 90m2,7,1,Doğalgaz Sobası,70,26.000.000 TL,
Avcılar 'da Satılık Üniversite Öğrenci Yurdu,6,1,Doğalgaz (Merkezi),1.200,45.000.000 TL,
"KARTAL YAKACIK ÇARŞI MERKEZ'DE 4 KATLI ,4 DAİRELİ SATILIK BİNA,",4,1,Doğalgaz (Kombi),120,6.000.000 TL,
6843 Rengarenk'ten Keçicipiri'de Satılık Projeli Fırsat Bina,4,1,Doğalgaz (Kombi),75,4.500.000 TL,
AVCILAR GÜMÜŞPALADA SATILIK BİNADA 4 DAİRE 1 DÜKKAN,4,2,Doğalgaz (Kombi),85,11.550.000 TL,
"ACİL İHTİYAÇ ""TAŞOLUK'TA BODRUM KATLI,ÜÇ TANE 3+1 AİLELİK BİNA""",3,1,Doğalgaz (Kombi),420,6.950.000 TL,
EKREM BAKIR GAYRİMENKUL'DEN MİLLET CADDESİ YAKINI SIFIR BİNA,6,1,Doğalgaz (Kombi),90,46.500.000 TL,
Eyüp Düğmeciler Mahallesi Satılık Bina,4,1,Doğalgaz (Kombi),128,13.500.000 TL,
Tek Yetkili Emlak Markt'dan Yurt ve Öğrenci Binasına Uygun,4,1,Doğalgaz (Kombi),700,14.750.000 TL,
"Güzelce Sahilde, Denizin Önünde, 5 Katlı Satılık Komple Bina",5,1,Doğalgaz (Kombi),450,15.500.000 TL,
STORYVADİ GAYRİMENKUL DEN BEYKOZ DA SATILIK KOMPLE BİNA BAHÇELİ,4,2,Doğalgaz (Kombi),684,28.500.000 TL,
SAHİBİNDEN SIFIR BİNA,3,1,Doğalgaz (Merkezi),325,25.000.000 TL,
Satılık işhanı,4,1,Soba,450,65.000.000 TL,
İPEKYOL'DAN ACİL SATILIK BÖLGE FİYATININ ALTINDA KUPON BİNA,6,2,Doğalgaz (Kombi),1.700,39.900.000 TL,
HAN EMLAK'TAN ADEMYAVUZ MAH. SATILIK YATIRIMLIK BİNA 3 DAİRE!,3,1,Doğalgaz (Kombi),120,6.000.000 TL,
Ataşehir Ferhatpaşa'da Komple Satılık Bina 4 Daire 1 Dükkan,5,1,Doğalgaz (Kombi),750,19.000.000 TL,
FATİH BALAT 'TA SATILIK 2 DAİRE & 1 TİCARİ ALANLI TADİLATLI BİNA,3,1,Doğalgaz (Kombi),300,32.500.000 TL,
KADIKÖY MERKEZDE SAHİBİNDEN SATILIK KOMPLE BOŞ BİNA,8,1,Doğalgaz (Kombi),560,19.500.000 TL,
MODA KIZ LİSESİ YANINDA DENİZ MANZARALI APARTMAN,7,1,Doğalgaz (Kombi),55,50.000.000 TL,
SATILIK BİNA+2 DÜKKAN YÜKSEK GETİRİLİ OTOBAN KENARI,5,2,Doğalgaz (Kombi),1.500,85.000.000 TL,
Doğa Manzaralı Yok Sahibinden Bina Doğalgaz (Kombi) Kaçırılmayacak Fırsat! Açık Otopark,3,1,Doğalgaz (Kombi),600,10.500.000 TL,
KAĞITHANE ÇELİKTEPE İNÖNÜ CAD MERKEZ DE SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),68,12.000.000 TL,
BALAT'IN EN GÜZEL LOKASYONUNDA YENİLENMİŞ SATILIK BİNA,5,1,Doğalgaz (Kombi),378,8.900.000 TL,
Pera'da Otel veya Butik İşletmeye Uygun Satılık Tarihi Bina,4,2,Doğalgaz (Kombi),500,120.000.000 TL,
REMAX ŞİRVAN'DAN EYÜPSULTAN EMNİYETTEPE'DE 4 KATLI SATILIK BİNA,4,1,Soba,335,5.500.000 TL,
FİKRET GÜL EMLAK TAN İNŞAATTAN MÜSTAKİL 3 KATLI BİNA,3,1,Doğalgaz (Kombi),580,85.000.000 TL,
AYDIN İNŞAATTAN ÇAMÇEŞME MAH.195M2 SATILIK BİNA 4 ADET DAİRE,4,1,Doğalgaz (Kombi),195,9.000.000 TL,
DENGEİUM'DAN FATİH HIRKA-İ ŞERİF MAH. SATILIK KÖŞE KOMPLE BİNA,3,1,Doğalgaz (Kombi),78,9.500.000 TL,
ÜMRANİYE DUDULU YENİŞEHİRDE SATILIK DÖRT KATLI BINA,4,3,Doğalgaz (Kombi),140,10.500.000 TL,
Sancaktepe yenidoğan da köşe başı satılık 3 katlı bina,3,1,Doğalgaz (Kombi),195,4.200.000 TL,
█ BARAKA EMLAK █ 5 DAİRE 1 DÜKKAN KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),184,15.000.000 TL,
KADIKÖY KARAKOLHANE CADDESİ'NDE KOMPLE SATILIK BİNA,7,1,Doğalgaz (Kombi),800,45.000.000 TL,
KÜÇÜKÇEKMECE İSTASYON MAH. KOMPLE SATILIK SIFIR BİNA,5,1,Doğalgaz (Kombi),300,8.800.000 TL,
CİHANGİRDE DAİRE FİYATINA BİNA +2 KAT DAHA YAPILABİLİYOR,4,1,Doğalgaz (Kombi),80,30.500.000 TL,
Primax Florya Süper Konumda Satılık DENİZ MANZARALI KOMPLE BİNA,3,1,Doğalgaz (Kombi),600,75.000.000 TL,
Taksim Meydana Yürümede Mesafede 3 Katlı Satılık Bina,3,1,Doğalgaz (Kombi),85,4.000.000 TL,
Fevzi Çakmak Cad Satılık Komple Bina | Yıl sonu Fırsatı Kaçırmay,2,1,Doğalgaz (Kombi),200,3.500.000 TL,
komple satılık ticari bina,7,2,Doğalgaz (Merkezi),248,70.000.000 TL,
EYÜP TOPÇULARDA DÖNÜŞÜME UYGUN 8 KATLI KOMPLE BİNA VE ARSA,8,2,Doğalgaz (Merkezi),6.392,120.000.000 TL,
"İNÖNÜ MAH.YEDİTEPE ÜNV,DİBİNDE FULL DOLU 16DAİRELİ SATILIK BİNA",4,4,Doğalgaz (Merkezi),550,30.000.000 TL,
sahibinden temiz satılık bina,6,1,Doğalgaz (Kombi),100,12.500.000 TL,
"Gedikpaşa Oteller Bölgesinde Satılık İş Hanı,",8,5 +,Klima,1.000,110.000.000 TL,
Şişli Kurtuluş Kuyulubağ Sokakta Satılık Komple Bina,7,1,Doğalgaz (Kombi),385,29.000.000 TL,
BEYOĞLU BOĞAZKESEN CADDESİ 'NDE SATILIK BİNA!,6,1,Klima,300,29.500.000 TL,
SİLİVRİ ALİPAŞA'DA 4 KATLI BAHÇELİ BİNA,4,1,Kalorifer,280,8.500.000 TL,
"İSTANBUL ÇAPA'DA SAĞLIK LEJANTLI 3820m2 BİNA, 775m2 OTURUMLU",6,1,Doğalgaz (Merkezi),3.820,180.000.000 TL,
EMR'DEN SELÇUKHAN CADDESİNDE SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),340,6.250.000 TL,
