_1,_2,_3,_4,_5,_6,_7
MAHMUTBEY'DE SATILIK TİCARİ İMARLI 3 DAİRE 1 DÜKKAN BİNA,3,1,Doğalgaz (Kombi),192,13.750.000 TL,
Fatih mahallesi Merkezin de Satılık 3+1 3 adet Daire,3,1,Doğalgaz (Merkezi),191,6.600.000 TL,
Satılık komple bina,7,1,Yerden Isıtma,73,70.000.000 TL,
,,,,,,
SANCAKTEPE MERKEZDE HARİKA KONUMU OLAN SATILIK BİNA,2,2,Doğalgaz (Kombi),250,12.000.000 TL,
SULTANAHMET KÜÇÜKAYASOFYA YANI ACİL SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),45,21.350.000 TL,
EVwest'den BAKIRKÖY SAHİLDE SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),690,42.000.000 TL,
EMSALSİZ SATLIK BİNA 4DAİRE 1DÜKAN SADECE 5.950.000 154M2,5,1,Doğalgaz (Kombi),154,5.950.000 TL,
Satılık beş katlı bina 105 temel 123 üstler,5,1,Doğalgaz (Kombi),159,9.298.500 TL,
SARIYER MERKEZDE 560 M2 KOMPLE SATILIK BINA,2,1,Doğalgaz (Kombi),560,52.350.000 TL,
MG GAYRİMENKULDEN FATİH'TE KOMPLE SATILIK BİNA,6,1,Doğalgaz (Kombi),135,17.500.000 TL,
MERT GAYRİMENKUL ATAŞEHİR YENİ SAHRADA SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),150,16.500.000 TL,
KINALIADA SATILIK BİNA,2,1,Yok,320,11.700.000 TL,
TREND EXPRESSDEN nezih sokakta sahile yakın kısmi manzaralı bina,4,2,Doğalgaz (Kombi),1.000,35.000.000 TL,
NETA'DAN BURGAZADA'DA SATILIK 3 KATLI MÜSTAKİL BİNA,3,1,Doğalgaz (Kombi),315,30.000.000 TL,
SAHİBİNDEN SATILIK 5 DAİRELİ MÜSTAKİL BİNA,4,1,Doğalgaz (Kombi),700,37.000.000 TL,
KOMPLE SATILIK BİNA(YABANCIYA VATANDAŞLIGA UYGUN MÜLK),5,1,Doğalgaz (Kombi),118,14.500.000 TL,
PAK EMLAKDAN SATILIK KOMPLE BİNA 8. DAİRE 3. ADET DÜKKAN,4,2,Doğalgaz (Kombi),195,14.950.000 TL,
ARSASININ FİYATINA SIFIR BİNA,4,2,Doğalgaz (Kombi),580,32.000.000 TL,
"MİMARSİNAN DA YATIRIMLIK BİNA YENİ FIRSAT,DENİZ MANZARALI",3,1,Soba,45,2.100.000 TL,
ARNAVUTKÖYDE KAÇIRILMACAK FIRSAT SATILIK KOMPLE BİNA,5,1,Doğalgaz (Kombi),146,12.300.000 TL,
İSTANBUL TOPKAPI 10 DAİRELİ SATILIK BİNA,5,2,Doğalgaz (Kombi),500,20.000.000 TL,
GG MURAT'TAN Vişnezade'de Satılık 3 Katlı Ahşap Bina,3,1,Soba,350,30.000.000 TL,
SULTANBEYLİ 1145 M2 BODRUMLU CADDEYE CEPHE SATILIK BİNA & PLAZA,4,1,Doğalgaz (Kombi),1.145,75.000.000 TL,
SAHİBİNDEN SATILIK FATİH VEFA'DA BİNA+DÜKKAN+ARSA,2,2,Doğalgaz (Kombi),300,90.000.000 TL,
KOMPLE SATILIK BİNA ZEMİN KAT İŞYERİ DEPOLU DÜKKAN ÜSTLER DAİRE,5,1,Doğalgaz (Kombi),130,13.000.000 TL,
FLORİUM DAN FLORYA MERKEZDE TİCARİ İMARLI KIYMETLİ KOMPLE BİNA,3,2,Doğalgaz (Kombi),163,27.000.000 TL,
ENES EMLAKTAN MODA CADDESİNE 2.PARSELDE SATILIK KOMPLE BİNA,5,1,Doğalgaz (Kombi),300,25.000.000 TL,
"GELİŞEN BÖLGENİN, PRESTİJLİ MAHALLESİNDE ÜÇ AİLELİK BİNA",5,1,Doğalgaz (Kombi),390,11.750.000 TL,
MÜSTAKIL 2 KATLI VE CATI PIYESLI BAHCELI TAM BIR AILE YERI,2,1,Doğalgaz (Kombi),110,3.950.000 TL,
Kartal Yunus Mahallesinde Yüksek Kira Getirili Satılık Bina,3,1,Doğalgaz (Kombi),228,14.000.000 TL,
SATILIK ANA CADDE ÜZERİ BİNA ARENA PARK YANI,3,1,Doğalgaz (Kombi),135,17.500.000 TL,
ACİL SATILIK CADDE CEPHE TİCARİ BİNA,2,1,Doğalgaz (Kombi),240,12.000.000 TL,
BÜYÜK ÇAMLICA'da YATIRIMLIK KOMPLE SATILIK BİNA,5,1,Doğalgaz (Merkezi),2.510,47.000.000 TL,
HAN EMLAK'TAN SIFIR YATIRIMLIK BİNA 3+1 DAİRELER VE DÜKKAN!,5,1,Doğalgaz (Kombi),665,24.500.000 TL,
BÜYÜKÇEKMECEDE E5 ANAYOL ÜZERİ SATILIK BİNA,5,1,Doğalgaz (Kombi),2.400,95.000.000 TL,
FLORYA DA 2000 YAPIMI 10 DAİRELİ KOMPLE SATILIK LÜKS BİNA,4,2,Doğalgaz (Kombi),3.000,350.000.000 TL,
ŞİŞLİ CUMHURİYET MAHALLESİNDE TİCARİ VE KONUT İMARLI BİNA,5,1,Yok,600,70.000.000 TL,
KARTAL ORTA MAHALLEDE YATIRIMLIK İSKANLI BİNA,8,1,Doğalgaz (Kombi),1.550,50.000.000 TL,
BÖLGE EMLAK'TAN İMARLI ARSALI #DAİRE FİYATINA# CADDE ÜZERİ BİNA,5,1,Doğalgaz (Kombi),167,7.900.000 TL,
"FIRSAT YATIRIM /فرصة الاستثمار / ВОЗМОЖНОСТЬ ИНВЕСТИЦИЙ,",2,1,Doğalgaz (Kombi),300,16.000.000 TL,
Celaliye'de 4 Katlı Bina,4,1,Doğalgaz (Kombi),130,11.000.000 TL,
ARSA DAHİL SATILIK MÜSTAKİL BİNA,2,1,Doğalgaz (Kombi),580,6.000.000 TL,
ALTIN EMLAK'TAN KAĞITHANE Y.KEMAL MAHALLESİNDE SATILIK BİNA.,3,1,Doğalgaz (Kombi),60,3.500.000 TL,
ÖYKÜ YAPI'DAN SATILIK KOMPLE BİNA VATANDAŞLIĞA UYGUN İSKANLI,3,1,Doğalgaz (Kombi),338,17.500.000 TL,
CİHANGİR FİRUZAĞA'DA 6 KATLI YENİLENMİŞ SATILIK BİNA,6,1,Doğalgaz (Kombi),400,36.000.000 TL,
KAMELYA EMLAK'TAN Merter'de 5 Katlı Komple Satılık Bina,5,1,Yok,1.800,116.000.000 TL,
Beyoğlu İstiklal Cadde Paraleli Satılık 5 Daire Otel Binası /LUX,5,1,Doğalgaz (Kombi),285,49.750.000 TL,
YEDİTEPE ÜNİV. KOMŞU KOMPLE BİNA TİCARİ KULLANILANILABİLİR 5KAT,5,1,Doğalgaz (Kombi),192,19.000.000 TL,
PRO'DAN BOĞAZDA SATILIK 5 KATLI BİNA SAHİLE 1 DK,5,1,Doğalgaz (Kombi),650,55.000.000 TL,
DÜNYA GAYRİMENKUL'DEN MEVLANAKAPI MAH. 5 KATLI SATILIK BİNA,5,1,Doğalgaz (Kombi),70,15.000.000 TL,
