_1,_2,_3,_4,_5,_6,_7
BU FİYATA BÖYLE BİR YER YOK KASIMPAŞA MERKEZDE KAÇMAZ BİNA,4,1,Soba,150,3.500.000 TL,
ANADOLUHİSARI'nda TURİSTİK BÖLGEDE KOMPLE SATILIK BİNA,3,1,Doğalgaz (Kombi),350,30.000.000 TL,
Beşiktaş 4 katlı 6 daireli Full eşyalı Revizyonlu bina,4,2,Doğalgaz (Kombi),190,11.250.000 TL,
,,,,,,
ÜMRANİYE MODOKO İMES METRO DİBİNDE SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),185,9.100.000 TL,
"Güngören'in en işlek caddesi ""Geçit Caddesi"" üzerinde",5,2,Yok,1.200,25.000.000 TL,
YENİKÖY'DE DENİZ MANZARALI KOMPLE BİNA FIRSATI !!!,4,1,Doğalgaz (Kombi),324,34.950.000 TL,
Ziraat Bankası'ndan İstanbul Esenler'de 3/16 Hisseli Bina,5,1,Soba,140,1.050.000 TL,
FATİH AYVANSARAYDA SATILIK KELEPİR SIFIR BİNA 30.000 Kira Getiri,4,1,Doğalgaz (Kombi),250,9.650.000 TL,
ÇINAR GAYRIMENKUL'DEN MASRAFSIZ KULLANIMA HAZIR KOMPLE BİNA,4,4,Doğalgaz (Kombi),180,10.950.000 TL,
Merter Keresteciler'de Çift Cad. Cepheli 1.700 m² Kiracılı Bina,6,1,Doğalgaz (Merkezi),1.700,130.000.000 TL,
Komple Satılık Krediye Uygun Bina,4,1,Doğalgaz (Kombi),164,8.500.000 TL,
BOĞAZ DENİZ MANZARALI BEYKOZ İSKELE YAKINI SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),196,21.000.000 TL,
SATILIK BİNA,6,1,Doğalgaz (Kombi),98,9.700.000 TL,
BALAT MERKEZDE 5 KATLI APARTMAN,5,1,Doğalgaz (Kombi),350,15.500.000 TL,
DEMİRKOL İNŞAATTAN GÖZTEPE CADDE ÜZERİ SATILIK 6 KATLI BİNA,6,1,Doğalgaz (Kombi),680,25.000.000 TL,
ÜSKÜDAR BAĞLARBAŞINDA MÜSTAKİL BAHÇELİ BİNA FIRSAT,1,1,Doğalgaz (Kombi),200,19.750.000 TL,
CAPACİTY AVM KARŞI SOKAĞINDA KÖŞE BİNA,5,1,Doğalgaz (Kombi),510,36.000.000 TL,
BAHARİYE CADDESİNE 50MT ARAYICIBAŞI SOKAK DA KOMPLE SATILIK BİNA,7,1,Doğalgaz (Merkezi),650,27.500.000 TL,
AİLE İÇİN 5 KATLI SAHİBİNDEN SATILIK BİNA HAVUZLU BAHÇELİ,5,1,Doğalgaz (Kombi),177,24.650.000 TL,
C21 MELTEM YAMAN'dan Hasanpaşa da Arsa Fiyatına Komple Bina,7,2,Doğalgaz (Kombi),490,13.750.000 TL,
Okmeydanı Satılık Bina,4,2,Doğalgaz (Kombi),150,14.400.000 TL,
Satılık Geniş Doğa Manzaralı Yok Sahibinden Doğalgaz Sobası,2,1,Doğalgaz Sobası,743,425.000.000 TL,
FLORYA BASINKÖY DE YATIRIMLIK DENİZ MANZARALI SATILIK BİNA,5,1,Doğalgaz (Kombi),450,26.500.000 TL,
ORTAKÖY'DE BOĞAZ MANZARALI KOMPLE SATILIK BİNA,3,2,Doğalgaz (Merkezi),310,350.000.000 TL,
960 M2 SATILIK KOMPLE BİNA,6,5 +,Doğalgaz (Kombi),960,50.000.000 TL,
ABN 'den Yeşilköy Sahile & Beytiye 3-4 dk A+ Satılık 4049m2 Bina,5,2,Doğalgaz (Kombi),4.049,425.000.000 TL,
Karaköy de Merkezi Konumda Satılık Bina,5,1,Doğalgaz (Kombi),515,81.000.000 TL,
EVwest'tn 743M2 ARSALI TAPU NİTELİĞİ 2.DERECE TARİHİ KONAK,2,1,Doğalgaz Sobası,743,92.000.000 TL,
KOMPLE SATILIK 5 KATLI OTOPARKLI BİNA,5,1,Doğalgaz (Kombi),750,32.000.000 TL,
İstanbul Sultanbeyli mimarsinan mah.satilik 4 katlı bina,4,1,Doğalgaz (Kombi),120,20.500.000 TL,
Sahibinden Satılık Bina,5,2,Doğalgaz (Kombi),419,30.000.000 TL,
AVCILAR YEŞİLKENT MAH. KÖŞE BAŞI KONUMU GÜZEL,4,1,Doğalgaz (Kombi),140,16.500.000 TL,
[ZEYBEK'TEN] DUYGU HASTANESİ MEVKİNDE SATILIK BİNA,5,1,Doğalgaz (Kombi),90,10.000.000 TL,
PARSELLİ KAVAKPINARDA CADDE ÜZERİ SATILIK BİNA,3,2,Doğalgaz (Kombi),283,2.600.000 TL,
Sahibinden Talatpaşada Satılık 4 Katlı Müstakil Bina,4,1,Doğalgaz (Kombi),120,8.500.000 TL,
Taksim Meydana Yürüme Mesafesi'nde Satılık Komple Bina,4,3,Yok,720,47.250.000 TL,
Remax Olive Okay'dan Rami'de Aile İçin 300m2 Satılık Komple Bina,2,1,Doğalgaz (Kombi),300,11.500.000 TL,
MALTEPE BAĞDAT CD ÜZERİ KOMPLE BİNA VE ARSA EN KIYMETLİ YERİNDE,5,3,Doğalgaz (Kombi),2.500,495.000.000 TL,
SULTANAHMET'TE SATILIK KÖŞE BİNA,4,1,Doğalgaz Sobası,130,58.000.000 TL,
BALATTA HALİÇ MANZARALI 3 KATLI 750m² SATILIK BİNA,3,1,Doğalgaz (Kombi),750,28.000.000 TL,
Satılık 9/50 İmarlı Bina 6.500.000 TL,2,1,Soba,119,6.500.000 TL,
KUZGUNCUK MERKEZ DE BOĞAZ MANZARALI KOMPLE SATILIK BİNA,7,1,Doğalgaz (Kombi),595,34.000.000 TL,
Beyoğlu Karaköy'de Satılık 6 Katlı Butik Otel,5,5 +,VRV,1.060,350.000.000 TL,
KURUMSAL KİRACILI E-5 E YAKIN SATILIK 8500M2 BİNA,7,1,Doğalgaz (Kombi),8.500,98.000.000 TL,
VADİPARKA KOMŞU SATILIK BİNA,4,1,Doğalgaz (Kombi),95,14.500.000 TL,
EYÜP NİŞANCADA KOMPLE YENİLENMİŞ BİNA,4,1,Doğalgaz (Kombi),75,8.000.000 TL,
Building at very unique location in Istanbul!!!,6,1,Doğalgaz (Kombi),900,34.199.000 TL,
AKKARDEŞLERDEN KOMPLE SATILIK 3+1 130m2 1 AYA TESLİM 4 DAİRE.!,4,1,Doğalgaz (Kombi),130,13.500.000 TL,
HAZAR'DAN - YÜZYIL BARBAROS CADDE ÜZERİ - SATILIK BİNA -127 M²,6,1,Doğalgaz (Kombi),127,23.000.000 TL,
EXPERT SATIYOR.KAĞITHANE MERKEZDE 4.KATLI KOMPLE BİNA TEKYETKİLİ,4,1,Doğalgaz (Kombi),63,14.000.000 TL,
DENİZ MANZARALI SATILIK 4KATLI BİNA/عمارة للبيع 4 طوابق منظر بحر,4,1,Doğalgaz (Kombi),420,11.800.000 TL,
