1,2,3,4,5,6,7
LİBADİYE KÖŞE PARSEL EMAAR YAKINI KOMPLE BİNA,4,1.0,Doğalgaz (Merkezi),1.15,66.000.000 TL,
TUNCAY'DAN 80.000TL HAZIR KİRACILI YATIRIMLIK FIRSAT KOMPLE BİNA,4,2.0,Doğalgaz (Kombi),320.0,12.400.000 TL,
Asmalı Mescit'te Merkezi Lokasyonda Dükkanlı 3Katlı Satılık Bina,3,2.0,Yok,650.0,49.990.000 TL,
BALAT FENER KIRMIZI RUM OKULU KARŞISINDA SATILIK 4 KATLI BİNA,4,1.0,Doğalgaz (Kombi),314.0,8.850.000 TL,
kağıthanede yatırımlık satılık 4 daire bir dukkan,5,1.0,Doğalgaz (Kombi),58.0,21.000.000 TL,
TALATPAŞA'DA OTURUM 145M2 6 DAİRE METROBÜSE 3 DK KOMPLE BİNA,3,2,Doğalgaz (Kombi),145.0,9.600.000 TL,
SEFAKÖY İNÖNÜ MAH.'DE HASTANEYE YAKIN 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),120.0,7.500.000 TL,
SATILIK KÖŞE BİNA ( İŞLETMEYE AÇILMAMIŞ KURULU SIFIR OTEL),5,5 +,Doğalgaz (Kombi),550.0,117.500.000 TL,
,,,,,,
ÜSKÜDAR BULGURLUDA SATILIK BİNA,3,3,Doğalgaz (Kombi),500.0,55.000.000 TL,
Fatih Haseki Mh. Komple Satılık Bina مبنى كامل للبيع في الفاتح,4,1,Doğalgaz (Kombi),480.0,14.500.000 TL,
MİNİMALİST GARİMENKUL'DEN EYÜP NİŞANCI MAH. SATILIK BİNA,4,1,Doğalgaz (Kombi),500.0,15.500.000 TL,
MERKEZİ KONUMDA KOMPLE MÜSTAKİL BİNA...,4,1,Doğalgaz (Kombi),350.0,19.750.000 TL,
Doğadan acil fiyata uygun komple yenilenmiş 4 Katlı şahane bina,4,1,Doğalgaz (Kombi),190.0,11.250.000 TL,
HARBİYE´DE TAKSİM´E YAKIN APART OTELE UYGUN 3KATLI MÜSTAKİL BİNA,3,1,Doğalgaz (Kombi),210.0,14.000.000 TL,
PENDİKTE SATILIK MÜSTAKİL BİNA,2,2,Doğalgaz (Kombi),257.0,15.500.000 TL,
