_1,_2,_3,_4,_5,_6,_7
CORESCO'DAN TAKSİM KOCATEPE'DE SATILIK YAN YANA İKİ KOMPLE BİNA,8,2,Doğalgaz (Kombi),520,18.500.000 TL,
PENDİK'TE CADDE CEPHELİ 5 KATLI YATIRIMLIK FIRSAT BİNA+İŞYERİ,5,1,Doğalgaz (Kombi),196,14.000.000 TL,
İSTANBUL ÜSKÜDAR KÜÇÜKSU'DA SATILIK YATIRIMLIK BİNA,2,1,Doğalgaz (Kombi),120,15.000.000 TL,
,,,,,,
acil satılık bina Yenidoğan Sancaktepe,2,1,Doğalgaz (Kombi),175,6.850.000 TL,
EMİNÖNÜNDE HALİCE KARŞI SATILIK BİNA,5,1,Doğalgaz (Kombi),1.200,60.000.000 TL,
YAKUPLU DA SATILIK YENİ BİNA,5,2,Doğalgaz (Kombi),700,62.000.000 TL,
ÜMRANİYE BELEDİYESİ KARŞISINDA SATILIK BİNA,4,2,Doğalgaz (Kombi),221,26.400.000 TL,
YENİYAPI'DAN HALKALIDA KOMPLE SATILIK BİNA,4,2,Yerden Isıtma,800,36.250.000 TL,
SANCAKTEPE OSMANGAZİ MAH.4 KATLI BAKIMLI AİLE BİNASI,3,4,Doğalgaz (Kombi),234,8.500.000 TL,
Nuripaşa Hat Boyu Fişekhaneye Yakın 440m2 Komple Bina...,5,1,Doğalgaz (Kombi),400,22.000.000 TL,
Haliç Balat Da Caddeye Sıfır SATILIK Komple Bina Ticari-Konut,3,2,Yok,350,22.500.000 TL,
umraniye merkez fırsattır. NOTU OKUYUN.arsası 225 m2 sahibinden,3,2,Kalorifer,225,19.000.000 TL,
TAŞOLUK MAHALLESİ'NDE 3 KATLI SATILIK BİNA FIRSATTIR,3,1,Doğalgaz (Kombi),278,7.800.000 TL,
SULTANAHMET KÜÇÜK AYASOFYADA 4 KATLI SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),137,58.000.000 TL,
RİBA'DAN CİHANGİR'DE SATILIK KOMPLE BİNA,2,1,Yok,250,21.250.000 TL,
Heybeliada Merkezi Konum İskele Yakın Satılık 3 Katlı Bina,3,1,Doğalgaz (Kombi),300,8.700.000 TL,
2 KATLI MÜSTAKİL KÖŞE BAŞİ BİNA IKI YOL CEPHELİ 8.500.000,2,1,Doğalgaz (Kombi),145,8.500.000 TL,
ACİL SATILIK 4 KATLI MÜSTAKİL BİNA,4,1,Doğalgaz (Kombi),100,5.750.000 TL,
Cihangir'de Ana Caddede Köşe Parsel Dükkanlı Cumbalı Tarihi Bina,5,1,Doğalgaz (Kombi),425,95.000.000 TL,
satılık komple bina,4,1,Doğalgaz (Kombi),68,11.000.000 TL,
"GALATAPORT'A 2 DK MESAFEDE, ASANSÖRLÜ, KAT MÜLKİYETLİ YENİ BİNA",4,4,Doğalgaz (Kombi),310,28.000.000 TL,
KARAHAN EMLAKTAN MİNİBÜS CADDESİNE YAKIN SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),250,15.500.000 TL,
