_1,_2,_3,_4,_5,_6,_7
YELVE YAPIDAN ADİL MAHALLESİNDE MİMARLIK HARİKASI AİLE BİNASI!,3,1,Doğalgaz (Kombi),265,20.250.000 TL,
FATİH CEVDETPAŞA CADDESİ'NDE 5 KATLI BİNA,5,1,Doğalgaz (Kombi),500,16.000.000 TL,
SÜLEYMANİYE CADDESİ ÜZERİNDE SATILIK KOMPLE BİNA (OPTİMUM),4,1,Doğalgaz (Kombi),400,55.500.000 TL,
,,,,,,
R.W Sema ÖRS'ten Maltepe Atatürk Caddesinde Yatırım Fırsatı !,2,1,Doğalgaz (Merkezi),500,20.000.000 TL,
KARAKÖY MERKEZDE GALATA KÖPRÜSÜ YANI SATILIK 3 KATLI BİNA,3,1,Doğalgaz (Kombi),45,13.500.000 TL,
KARAKÖY MERKEZDE GALATAPORTA YAKIN KOMPLE SATILIK BİNA (OPTİMUM,7,1,Doğalgaz (Kombi),250,50.000.000 TL,
Beyoğlu'nda Satılık Komple Bina!,5,1,Doğalgaz (Kombi),275,23.995.000 TL,
ÇENGELKÖYDE İÇİ SIFIR SATILIK BİNA,3,1,Doğalgaz (Kombi),85,12.000.000 TL,
REDSTONE İCG | Sirkeci Mısır Çarşısı'nda Satılık Bina(Dükkanlı),5,1,Doğalgaz (Kombi),150,77.500.000 TL,
BEYOĞLU ÇATMA MESCİD MAH 6 KATLI SATILıK BİNA,6,1,Yok,70,23.000.000 TL,
GÜNEŞLİ BASIN EKSPRES YOLU YANINDA SATİLİK KOMPLE BİNA ..,4,1,Doğalgaz (Kombi),440,17.500.000 TL,
KENTSEL DÖNÜŞÜME UYGUN İMARLI 6 DAİRELİK BİNA VE 220 m'2 ARSA,4,1,Doğalgaz (Merkezi),435,11.600.000 TL,
BAYRAMPAŞA'DA KÖŞE BAŞI SATILIK BİNA,5,3,Doğalgaz (Kombi),1.700,25.900.000 TL,
DENİZ MANZARALI 4 KATLI AHŞAP TARİHİ EV,4,1,Soba,160,7.500.000 TL,
UZUNOĞLU EMLAKTAN BEYAZIT GEDİKPAŞA CD APART OTELE UYGUN SATILIK,7,1,Yok,50,13.340.000 TL,
CİHANGİR'DE CADDE ÜSTÜ TARİHİ DOKULU SATILIK BİNA...,7,2,Doğalgaz (Kombi),600,75.000.000 TL,
KÜÇÜKÇEKMECE SEFAKÖY İNÖNÜ MAH. MERKEZİ YERDE SATILIK YENİ BİNA,4,1,Doğalgaz (Kombi),190,14.000.000 TL,
