_1,_2,_3,_4,_5,_6,_7
Tarihi malta çarşısında bina 3 dükkan 1 otel,2,5 +,Doğalgaz (Kombi),187,88.000.000 TL,
PAŞAMDAN FATİH CERRAHPAŞADA SATILIK YENİ BİNA,4,1,Doğalgaz (Kombi),85,22.500.000 TL,
SATILIK İŞ HANI,3,1,Kalorifer,112,4.500.000 TL,
,,,,,,
Feriköy Yay Meydanı Satılık Komple 3 Kat Bina,3,1,Doğalgaz (Kombi),100,6.000.000 TL,
Sercan Gayrimenkul'den Güngören Gençosman Mh. Satılık 300m2 Bina,5,2,Doğalgaz (Kombi),300,43.000.000 TL,
CEM EVİ İTFAYE CİVARI 4 KATLI SATILIK BİNA,4,4,Doğalgaz (Kombi),98,9.700.000 TL,
YÜCEL GAYRİMENKUL İNŞAAT'TAN KARTALTEPE MAH. KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),190,28.000.000 TL,
ESENYURT'TA KOMPLE SATILIK DOĞAN ARASLI BULVARINA 2.BİNA,7,5 +,Doğalgaz (Kombi),4.800,150.000.000 TL,
Merkezi konum sıfır lüks satilik bina,5,2,Doğalgaz (Kombi),320,28.500.000 TL,
OSMANGAZİ MH ALSANCAK CD. MÜSTAKİL BİNA 3 DAİRE 1 DÜKKAN,3,2,Doğalgaz (Kombi),112,5.210.000 TL,
4E GAYRİMENKUL - 560 m2 ARSA İÇİNDE 1120 m2 NET KULLANIMLI BİNA,3,2,Doğalgaz (Kombi),560,84.500.000 TL,
KARTAL/TOPSELVİ ' DE 5 DAİRELİ KOMPLE BİNA ARSA İLE BERABER,5,1,Doğalgaz (Kombi),187,13.500.000 TL,
VOX- SARIYER BÜYÜKDERE 5. KATLI ORMAN MANZARALI KÖŞK,5,3,Doğalgaz (Kombi),540,50.000.000 TL,
İKRAM'dan HALİÇ CAD.YAKINI 4 DAİRE 1 DÜKKAN KOMPLE SATILIK,5,1,Doğalgaz (Kombi),90,13.200.000 TL,
BAĞCILAR SANCAKTEPE MAH. KAPALI YOLDA 5 KAT KOMPLE SATILIK BİNA,5,2,Doğalgaz (Kombi),273,41.000.000 TL,
Aksaray Vatan Caddesi Üzerinde Satılık Yeni Bina,6,2,Doğalgaz (Kombi),700,122.250.000 TL,
Güngören Gençosman da 5 daire 1 dükkan satılık,5,1,Doğalgaz (Kombi),202,12.000.000 TL,
BAYRAMPAŞA MERKEZDE KELEPİR SATILIK BİNA,3,3,Doğalgaz (Kombi),65,4.100.000 TL,
Acil satılık 5 katlı bina,5,1,Doğalgaz (Kombi),640,9.000.000 TL,
Eyüpsultan Bulvarında Ana Cadde Üzerinde Üç Cepheli Bina,4,1,Doğalgaz (Merkezi),450,31.725.000 TL,
FATİH MERKEZDE KONUT VEYA TİCARİ KULLANIMA UYGUN SATILIK BİNA,6,1,Doğalgaz (Kombi),545,21.000.000 TL,
MALTEPE METROSUNUN HEMEN YANINDA HARİKA KONUMDA SATILIK BİNA,5,1,Doğalgaz (Kombi),3.300,85.000.000 TL,
ÇATALCA ÇANAKÇA'DA SATILIK 1000M² ARSA İÇİNDE HAVUZLU 3 KAT VİLA,3,1,Doğalgaz (Kombi),350,15.000.000 TL,
TARİHİ OTEL & İŞMERKEZİ & HAN,5,3,Doğalgaz (Kombi),5.000,600.000.000 TL,
SİMAR'dan BEŞTELSİZ 102 SK'ta 95m2 BİNA,4,1,Doğalgaz (Kombi),95,24.000.000 TL,
"Avcılarda Komple Satılık Bina,Araç Takası Değerlendirilebilir !!",4,1,Doğalgaz (Kombi),400,3.620.000 TL,
KADIKÖY ÇARŞI'DA KOMPLE SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),550,50.000.000 TL,
ZEYREK'TE SATILIK 7 DAİRELİ KOMPLE SATILIK 475 M2 İSKANLI BİNA,8,1,Doğalgaz (Kombi),475,15.500.000 TL,
ORTAKÖYDE SATLIK DUBLEKS DAIRE,4,1,Doğalgaz (Kombi),85,12.500.000 TL,
FATİH YENİKAPI YALI MAHALLESİ SATILIK BİNA 4 KATLI 166M2 ARSA,4,1,Doğalgaz (Kombi),166,16.000.000 TL,
Acil kelepir bina yabancı satışına uygun,4,2,Doğalgaz (Merkezi),45,4.100.000 TL,
KARAKÖY BANKALAR CADDESİNDE OTEL PROJELİ SATILIK BİNA,4,5 +,Doğalgaz (Kombi),900,165.000.000 TL,
YAKUPLU DA 310 m2 ARSA ÜZERİNDE 4 KATLI KOMPLE BİNA TAPUKUR'da,4,1,Doğalgaz (Kombi),310,12.500.000 TL,
Acil Satılık Bina,3,1,Doğalgaz Sobası,350,40.000.000 TL,
ACİL ATAŞEHİR Y.SAHRA Y. BEYAZIT CD. DE 2 DÜKKAN 2 DAİRELİ BİNA,2,2,Soba,550,25.500.500 TL,
GÜLTEPE 4 LEVENT MEVKİİNDE SATILIK 4 KATLI BİNA YATIRIM FIRSATI,4,1,Doğalgaz (Kombi),65,5.750.000 TL,
OTELLER BÖLGESİ 9 DAİRE 1 DÜKKAN FIRSAT,5,3,Soba,900,33.000.000 TL,
