_1,_2,_3,_4,_5,_6,_7
ORTAKÖY' DE 3 KATLI BAHÇELİ ACİL SATILIK BİNA,3,1,Doğalgaz (Kombi),50,7.150.000 TL,
İnönü Mahallesi'nde Süper bina,4,1,Doğalgaz (Kombi),117,6.000.000 TL,
Yakamoz'dan Mendereste Merkezi Konumda 3 Kat Eksik Satılık Bina,2,1,Doğalgaz (Kombi),50,3.620.000 TL,
,,,,,,
ATAŞEHİR in MERKEZİNDE PRESTİJLİ 600 M2 SATILIK BİNA / PLAZA,5,1,Klima,600,39.000.000 TL,
ÇENGELKÖY SAHİLE ÇOK YAKIN MESAFEDE TERASI OLAN ÜÇ KATLI BİNA,3,1,Doğalgaz (Kombi),200,7.900.000 TL,
BAKMADAN GEÇME,4,1,Doğalgaz (Kombi),120,7.500.000 TL,
BEYZA İNŞAAT GAYRİMENKUL DEN SATILIK 2 KATLI BİNA DAVUT PÂŞA MAH,2,1,Doğalgaz Sobası,80,4.200.000 TL,
BERRAKDENİZ FORSALE BUILDING 9STORIES HALİÇ VIEW CITIZENSHIPDEED,9 +,3,Doğalgaz (Kombi),105,67.500.000 TL,
KOMPLE SATILIK BİNA,3,5 +,Doğalgaz (Kombi),2.500,435.000.000 TL,
GÜRPINAR'DA DENİZ MANZARALI KOMPLE SATILIK BİNA,7,5 +,Doğalgaz (Kombi),3.600,80.000.000 TL,
KOŞUYOLU'NDA KOMPLE SATILIK MÜSTAKİL BİNA VATANDAŞLIK İÇİN UYGUN,6,3,Doğalgaz (Merkezi),680,33.000.000 TL,
KENTSEL DÖNÜŞÜMEDE OLAN BÖLGEDE 4 KAT BİNA,4,1,Doğalgaz (Kombi),110,4.850.000 TL,
SATILIK BİNA,9 +,2,Doğalgaz (Kombi),2.544,108.000.000 TL,
AKILLI YÜKSEK SEVİYEDE VE ÜSTÜN SİSTEMLE ÜRETİLMİŞ ÇOK ÖZEL MÜLK,7,5 +,Doğalgaz (Kombi),8.000,1.500.000.000 TL,
İSTANBUL BEBEK SAHİL 1İNCİ PARSELDE SATILIK BİNA BOĞAZİÇİ RUHSAT,4,1,Doğalgaz (Merkezi),340,33.000.000 TL,
"BEYKOZ,İNCİRKÖYDE 3 KATLI 6 DAİRELİ KOMPLE BİNA SATILIKTIR",3,2,Doğalgaz (Kombi),177,13.000.000 TL,
SAHİBİNDEN 230 M2 ÇİFT DAİRELİ,5,2,Doğalgaz Sobası,230,18.250.000 TL,
B.PAŞA İSMETPAŞA KOMPLE BİNA 177m2 ARSA 3ADET 4+1 DAİRE 2DÜKKAN,5,1,Doğalgaz (Kombi),177,34.500.000 TL,
Satılık Bina Lüks 5 Daire 1 Dükkan E5 Metrobüs Fetih yakini 2011,6,1,Doğalgaz (Kombi),108,28.500.000 TL,
Helin'den The Marmara arkasında yenilenmiş 5 daireli bina,5,1,Doğalgaz (Kombi),200,19.000.000 TL,
SULTANBEYLİ'DE 317m² ARSA İÇİNDE 5 KİRACISI OLAN SATILIK BİNA,5,1,Doğalgaz (Kombi),317,8.850.000 TL,
