_1,_2,_3,_4,_5,_6,_7
FEVZİÇAKMAK MAHALLESİNDE SATILIK SIFIR KOMPLE 5 KATLI BİNA,5,1,Doğalgaz (Kombi),138,16.000.000 TL,
KEMALPAŞA'DA 3+1 108m SATILIK BİNA 5.150.000 TL,4,1,Doğalgaz (Kombi),108,5.150.000 TL,
Bebek Kortel Korusunda 850m2 Kullanım. Manzaralı 4 Daireli Bina,4,2,Doğalgaz (Merkezi),850,246.550.000 TL,
,,,,,,
sultanbeyligi müstakil bina,3,3,Soba,113,3.000.000 TL,
sahibinden satılık acil bina,3,1,Soba,120,20.750.000 TL,
Zekeriyaköy 1.Caddede 815m2 arsa içerisinde 3 Katlı Ticari Bina,3,1,Doğalgaz (Kombi),500,63.000.000 TL,
kapalı garajlı 4.5 katlı eşyaları ile beraber komple bina,4,4,Doğalgaz (Kombi),470,10.500.000 TL,
BÜYÜKÇEKMECEDE E-5'E 50MT MESAFEDE SATILIK BİNA,4,1,Yok,450,9.400.000 TL,
DRAMAN VE BALATIN KESİŞTİĞİ NOKTADA İÇİ FULL YAPILI BOŞ BİNA,5,1,Doğalgaz (Kombi),55,7.000.000 TL,
"5,5 KAT'a İMARLI BİNA",3,1,Yok,183,5.350.000 TL,
FATİH TE SATILIK BİNA,5,1,Doğalgaz (Kombi),500,14.000.000 TL,
PAK EMLAKDAN ÜSTKAYNARCADA SATILIK BİNA KOMPLE KİRACILI UTRALÜKS,4,1,Doğalgaz (Kombi),125,6.950.000 TL,
GAZİOSMANPAŞA KARLITEPEDE KOMPLE SATILIK BİNA,2,3,Doğalgaz (Kombi),269,16.000.000 TL,
ARSA FİYATINA ANAYOLA CEPHELİ BİNA,3,1,Doğalgaz (Kombi),100,12.000.000 TL,
İSTANBUL ATAŞEHİRDE YATIRIMLIK SATILIK KOMPİLE BİNA,2,4,Doğalgaz (Kombi),1.140,120.000.000 TL,
SULTANAHMET 2.DERECE OTELLER RESTAURANTLAR BÖLGESİNDE 3 KATLI,3,1,Klima,100,20.250.000 TL,
Paşabahçe de Boğaz Manzaralı Dört Katlı Müstakil Bina,4,1,Doğalgaz (Kombi),455,15.500.000 TL,
İSTANBUL CİBALİDE KOMPLE SATILIK BİNA 45000000 TL,5,2,Doğalgaz (Kombi),500,45.000.000 TL,
Beyoğlu İstiklal Caddesi Satılık Komple Bina (optimum),6,1,Doğalgaz (Merkezi),400,185.000.000 TL,
"CITY TEK YETKİLİ, KINALIADA'DA 4 KATLI KOMPLE SATILIK BİNA",4,2,Yok,266,30.000.000 TL,
İDEALTEPE MİNİBÜS CADDESİ ÜZERİNDE MUHTEŞEM KONUMDA SATILIK BİNA,4,1,Doğalgaz (Kombi),1.013,53.000.000 TL,
Fatih Topkapı 170m2 Arsa Üzerine Yapılı Satılık 70m2 Bina,4,1,Doğalgaz (Kombi),70,13.650.000 TL,
Fatih Küçükpazar Matroya Yakın 200 m2 Kapalı Alan 3 Katlı Bina,3,1,Yok,52,14.750.000 TL,
GÜRPA'dan KONUMU HARİKA ANA CADDE ÜSTÜNDE YATIRIMLIK BİNA,3,1,Doğalgaz (Kombi),64,12.500.000 TL,
BAYRAMPAŞA VATAN MAH. 128M2 TAPU ALANI OLAN SATILIK 3 KATLI BİNA,3,1,Doğalgaz (Kombi),128,6.750.000 TL,
ATAŞEHİR FERHATPAŞA'DA KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),870,47.500.000 TL,
FERAHEVLER ANA CADDE ÜZERİ KOMPLE BİNA,4,1,Doğalgaz (Kombi),230,37.500.000 TL,
Heybeliada Merkezi Konum İskele Yakın Satılık 4 Katlı Bina,4,1,Doğalgaz (Kombi),340,15.000.000 TL,
YASİN GAYRİMENKULDEN TAKSİME 5 DK MESAFEDE YATIRIMLIK BİNA,4,1,Soba,50,2.250.000 TL,
mahmutbey ticari iş sahasi icinde bina,3,1,Doğalgaz (Kombi),140,16.250.000 TL,
Cihangir'de Panaromik Süper Deniz Manzaralı BahçeliBalkonlu Bina,6,1,Doğalgaz (Kombi),660,75.000.000 TL,
Satılık 6 Katlı Bina (10 Daire 4 dükkan) Kat Mülkiyetli,6,2,Doğalgaz (Kombi),1.600,24.500.000 TL,
Cihangir'de Tam Merkezde Tam Köşe Parselde Yüksek Tavanlı Bina,6,1,Doğalgaz (Merkezi),900,75.000.000 TL,
ORTAKÖY'DE SATILIK YÜKSEK KİRA GETİRİLİ KOMPLE BİNA,5,2,Doğalgaz (Kombi),450,28.000.000 TL,
BEYOĞLUNDA BAKIMLI MÜSTAKİL BİNA,7,2,Doğalgaz (Kombi),450,29.500.000 TL,
BOSTANCI MERKEZDE 181 m² ARSA İÇİNDE SATILIK MÜSTAKİL BİNA,2,1,Doğalgaz (Kombi),181,32.000.000 TL,
AYBARS'DAN TARİHİ YELDEĞİRMENİ İSKELE SOK. KOMPLE SATILIK BİNA,4,2,Doğalgaz (Kombi),112,31.500.000 TL,
KAYIŞDAĞI MÜKEMMEL KONUMDA YATIRIMLIK BİNA,5,1,Doğalgaz (Kombi),204,18.000.000 TL,
Taksim Meydan'a 5 dk. Fırsat Komple Bina 4 kat / 8 daire,4,2,Doğalgaz (Kombi),532,19.480.000 TL,
ÇENGELKÖY MERKEZİNDE BAHÇE KULLANIMLI İKİ KATLI MÜSTAKİL EV,2,1,Doğalgaz (Kombi),250,13.000.000 TL,
Satılık Bina,7,1,Doğalgaz (Kombi),50,20.000.000 TL,
HER GÜN DEĞERİNE DEĞER SATILIK 5 KATLI BİNA,5,1,Doğalgaz (Kombi),800,35.000.000 TL,
Beşiktaş Barbaros Bulvarı Komple Satılık Bina,4,1,Doğalgaz (Kombi),120,50.000.000 TL,
YENİBOSNA MERKEZ DE SATILIK KOMPLE AİLE BİNASI,4,2,Doğalgaz (Kombi),266,25.000.000 TL,
