_1,_2,_3,_4,_5,_6,_7
AKINCILAR MAH. KOŞU İZBANA 2 DK. MESAFEDE KOMPLE SATILIK BİNA,3,1,Doğalgaz (Kombi),177,8.000.000 TL,
MTG'DEN BOZYAKA'DA SATILIK KİRA GETİRİLİ KOMPLE BİNA,4,1,Doğalgaz (Kombi),372,6.950.000 TL,
Dalgıçlar Çaprazı Merkezi Konumda 3 Katlı Satılık Komple Bina,3,1,Klima,510,5.000.000 TL,
1 Sanayi İçerisinde Satılık Komple Bina,4,1,Yok,340,15.500.000 TL,
İzmir Konak Komple Satılık Bina Açıklamayı okuyunuz,4,2,Soba,100,2.650.000 TL,
KOMPLE SATILIK BİNA MERKEZİ KONUMDA DENİZ MANZARALI.!!!,5,1,Doğalgaz (Kombi),125,9.500.000 TL,
İZMİR KARABAĞLAR SATILIK KOMPLE BİNA,2,1,Soba,135,2.750.000 TL,
ATATÜRK MAHALLESİ'NDE MERKEZİ KONUMDA SATILIK FIRSAT BİNA,2,1,Doğalgaz (Kombi),152,6.200.000 TL,
ERICA'DAN 7 DAİRELİK KOMPLE SATILIK BİNA FIRSAT YATIRIM İMKANI,4,2,Yerden Isıtma,350,14.750.000 TL,
BORNOVA MERKEZDE SATILIK KOMPLE KUPON BİNA,5,1,Doğalgaz (Merkezi),600,63.000.000 TL,
15 ODA İÇİN RUHSAT ALİNMİŞ BİNA,2,5 +,Doğalgaz (Kombi),356,33.000.000 TL,
"Bayraklı Çiçek Mahallesinde SATILIK 3,5 Katlı Komple Bina",4,1,Klima,85,6.500.000 TL,
Bornova' da Satılık Bina,3,1,Klima,100,4.700.000 TL,
BORNOVA DOĞANLAR'IN EN İŞLEK CADDESİNDE SATILIK BİNA,4,3,Yok,80,33.000.000 TL,
SALMAN'DAN FOÇA YAKINI ÇAKMAKLIDA SATILK KOMPLE VİLLA/BİNA,3,1,Doğalgaz (Kombi),280,5.100.000 TL,
500+500 M2 2 adet arsa içerisinde 3 kat bina.,3,1,Soba,420,21.000.000 TL,
MEVLANANIN GELİŞMEKTE OLAN LOKASYONUNDA 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),156,7.950.000 TL,
BUCA KIZ KULESİ'NDE MERKEZİ KONUMDA SATILIK BİNA,5,1,Doğalgaz (Kombi),134,7.500.000 TL,
Egebay'dan 26 Ağustos Mah.sinde 2 Dükkan 2 daire 3 Katlı Bina,2,1,Klima,105,2.750.000 TL,
,,,,,,
MENEMEN EMİRALEM'DE ANAYOLA CEPHELİ SATILIK 2 KATLI BİNA,2,2,Klima,500,10.750.000 TL,
MERKEZİ YERDE 3+1 KARANLIK ODASI YOK KOMPLE SATILIK,5,1,Doğalgaz (Kombi),220,16.500.000 TL,
Menemen Ayvacık Mahallesinde Ultra Lüks Havuzlu SATILIK BİNA,3,1,Kalorifer,485,9.500.000 TL,
OĞLANANASINDA 880 m2 ARAZİ İÇİNDE 2 ADET 2+1 OLAN SATILIK BİNA,2,1,Soba,190,5.300.000 TL,
BAŞ-KALEDEN İŞLEKCADDE ÜZERİNDESATILIK KOMPLE BİNA4DAİRE 1İŞYERİ,5,1,Doğalgaz (Kombi),100,12.000.000 TL,
Urla Gülbahçe'de satılık bina,3,1,Klima,560,12.000.000 TL,
BUCA YEŞİLBAĞLAR MAHALLESİNDE SATILIK 3 KATLI MÜSTAKİL BİNA,3,1,Soba,128,4.500.000 TL,
KEMERALTI ANAFARTALAR CADDESİNDE SATILIK KIYMETLİ MÜLK,3,5 +,Yok,2.550,285.000.000 TL,
İKİ KATLI MÜSTAKİL BİNA YENİ YAPI,2,1,Doğalgaz (Kombi),230,6.300.000 TL,
konak merkezde satılık tarihi yapı turyaptan,2,2,Soba,60,2.200.000 TL,
Bornova Yunusemre'de Satılık Bina,4,1,Doğalgaz (Kombi),162,18.500.000 TL,
Eskiizmir Cad.Üzeri Zerek Petrolde 5 Daire 1 Dükkan Satılık Bina,6,1,Doğalgaz (Kombi),110,10.000.000 TL,
HAYY GAYRİMENKULDEN IŞIKKENT SANAYİDE KOMPLE SATILIK BİNA,4,1,Klima,1.050,31.000.000 TL,
BAŞ-KALE GAYRİMENKULDEN CADDE ÜZERİ 1 İŞYERİ 2 DAİRE KOMPLE BİNA,2,2,Soba,140,3.450.000 TL,
"BAŞ-KALEDEN AYLIK 55,000TL NET KİRA GETİRİLİ SATILIK KOMPLE BİNA",5,2,Doğalgaz (Kombi),180,13.500.000 TL,
BAŞ-KALEDEN ANA CADDE ÜZERİ 2 DAİRE 2 DÜKKAN MÜKEMMEL KONUM,3,2,Klima,130,5.950.000 TL,
5 katlı komple işyeri,5,1,Soba,250,4.100.000 TL,
CADDE ÜZERİNDE DÜKKAN PARASINA BİNA SATIYORUZ 7 AYRI TAPU,7,5 +,Yok,170,12.600.000 TL,
CEMİL HASEKİOĞLU'NDAN MUHTEŞEM KONUMDA ÜÇ DAİRE BİR DÜKKAN BİNA,4,1,Klima,165,7.000.000 TL,
İzmir Eşrefpaşa'da Deniz Manzaralı Satılık Bina,3,1,Yok,198,15.000.000 TL,
KONAK İSMETPAŞA MAH SATILIK BİNA,3,3,Klima,128,2.050.000 TL,
SAHİBİNDEN KOYUNDERE'DE SATILIK MÜSTAKİL 4 KATLI BİNA,4,1,Klima,184,6.000.000 TL,
Güzelbahçe'de Satılık Havuzlu 4 Katlı Bina,4,1,Doğalgaz (Kombi),500,30.000.000 TL,
Ferah Lüx Yok Açık Otopark Klima Satılık Doğa Manzaralı,3,1,Klima,120,3.450.000 TL,
MENEMEN ZAFER MAH. 176M2 ARSADA İÇİNDE 3 EV OLAN SATILIK BİNA,1,3,Soba,176,2.000.000 TL,
ADEM YAVUZ CADDESİNDE KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),90,2.850.000 TL,
KARALAR GYO DAN SATILIK,2,2,Doğalgaz (Kombi),660,18.000.000 TL,
KARABAĞLAR YEŞİLLİK CADDESİ 6 KATLI SATILIK 1300M2 KOMPLE BİNA,6,1,Klima,1.300,38.500.000 TL,
MENEMEN_GÖL PARK YAKINI 4_KATLI_KOMPLE SATILIK_BİNA,4,1,Doğalgaz (Kombi),218,9.500.000 TL,
Turyap Bornova'dan Çamkule'de 196 M2 Arsa İçinde 4 katlı Bina,4,1,Soba,465,6.225.000 TL,
BULUR' dan Konak İsmet Paşa Mah. Komple Satılık Bina,3,1,Klima,122,3.150.000 TL,
HAS EMLAK//İNÖNÜ MAH. SATILIK 1 DÖNÜM TARLA İÇİNDE MÜSTAKİL EV,2,1,Yerden Isıtma,250,12.000.000 TL,
ZAFERTEPE MAHALLESİNDE MERKEZİ KONUMDA KOMPLE YATIRIMLIK BİNA,4,1,Klima,370,9.500.000 TL,
ARDA 35 'DEN MENDERES GAZİPAŞA DA SATILIK BİNA,3,1,Doğalgaz (Kombi),270,7.200.000 TL,
BORNOVA MERK 2 DK MESAFEDE MALAZGİRT OKULU YAKINI MÜSTAKİL BİNA,2,1,Soba,200,3.750.000 TL,
AŞIKVEYSEL MAH. 2 KATLI KOMPLE SATILIK BİNA...,2,1,Klima,96,3.000.000 TL,
İZMİR BORNOVA MANAVKUYU DA KOMPLE SATILIK BİNA YETKİLİ OFİSTEN,3,2,Doğalgaz (Kombi),400,15.750.000 TL,
AVA EMLAK'TAN ALTINDAĞ YENER CADDESİ'NDE KOMPLE SATILIK BİNA,3,1,Klima,120,7.500.000 TL,
ATAKENT YALI MAHALLESİ ARASI KOMPLE SATILIK BİNA.,6,1,Doğalgaz (Kombi),90,12.250.000 TL,
İzmir Bornova Pınarbaşı Satılık Sıfır Bina,2,1,Yok,150,4.590.000 TL,
YEŞİLYURT DEVLET HASTANESİ YAKINI FULL EŞYALI KİRACILI SATILIK,4,2,Doğalgaz (Kombi),112,25.000.000 TL,
"ATATÜRK MAHALLESİNDE 4 KATLI, ÇATI DUBLEKSLİ AİLE APARTMANI",4,1,Doğalgaz (Kombi),196,8.500.000 TL,
BUCADA SIFIR PİLAN PIROJELİ İKİ KATLI MÜSTAKİL BİNA,2,1,Doğalgaz (Kombi),190,5.990.000 TL,
FIRAT MAH. KOMPLE SATILIK BEŞ KATLI BİNA...,5,1,Doğalgaz (Kombi),124,7.500.000 TL,
İZMİR FIRAT MAHALLESİNDE 6 DAİRE 2 DÜKKAN KİRA GETİRİSİ YÜKSEK,4,2,Soba,115,15.500.000 TL,
Kahramanlar Oteller ve Hastaneler Bolgesinde,1,1,Yok,90,7.500.000 TL,
"Urla Zeytinalanı İçinde 2 tane 2+1 Daire,2 Dükkan Komple Bina",2,2,Doğalgaz (Kombi),270,9.500.000 TL,
ESKİ İZMİR KİBAR SUPER KONUM,4,4,Doğalgaz (Merkezi),138,9.150.000 TL,
GÜRÇEŞME CADDESİ ÜZERİNDE 4 KATLI KOMPLE SATILIK BİNA,4,2,Soba,110,7.000.000 TL,
Bayraklı Manavkuyu Komple Satılık Bina,5,1,Klima,1.808,29.500.000 TL,
Turyap Bornova'dan Karacaoğlan'da Satılık Cad. Üstü 5 Katlı Bina,5,1,Yok,500,19.940.000 TL,
,,,,,,
ERA NİVA'DAN BUCA M.KEMAL MAHALLESİ'NDE SATILIK 3 KATLI BİNA,3,1,Doğalgaz (Kombi),80,3.500.000 TL,
KENT GAYRİMENKUL'DEN TİRE MEZKEZİNDE SATILIK BİNA,2,3,Soba,346,8.850.000 TL,
KAT MÜLİKYETLİ SATILIK KOMPLE BİNA - 3DAİRE 1DÜKKAN - AYRI TAPU,4,1,Soba,102,7.500.000 TL,
LOCATE'DEN BAYRAKLI TEPEKULE MAH. KOMPLE SATILIK 4 KATLI BİNA,4,1,Klima,360,4.000.000 TL,
ÇEŞME ILDIRDA DENİZE SIFIR ÖZEL LİMANI OLAN SATILIK VİLLA,2,3,Soba,3.500,152.000.000 TL,
BORNOVA İNÖNÜ MAH.KOMPLE SATILIK 4 KATLI BİNA,4,1,Klima,140,5.000.000 TL,
İZMİR/MENEMEN'DE SATILIK 3+1 DAİRE,6,2,Doğalgaz (Kombi),150,2.350.000 TL,
Çiğli'de 7 Daire Birden Satılık 3+1 ve 2+1 Daireler,4,2,Doğalgaz (Kombi),125,15.000.000 TL,
İçinde 2 katlı 2 ayrı daire ve arsa...her biri 3+1 daire !!,2,1,Klima,500,6.000.000 TL,
5428 M2 ZEYTİNLİK İÇİNDE BERGAMA BÖLCEKTE SATILIK MÜSTAKİL BİNA,2,2,Soba,95,9.750.000 TL,
