1,2,3,4,5,6,7
SÜVARİ MH'DE PARK CEPHELİ ANA YOLU GÖREN 13 DAİRELİ GENİŞ BİNA,3,2,Doğalgaz (Kombi),500.0,25.000.000 TL,
Çankaya Kelebek Sokak Satılık,4,2,Doğalgaz (Kombi),1.5,69.000.000 TL,
KEÇİÖREN BAĞLARBAŞI MH. SATILIK 400M2 ARSALI BİNA,2,1,Soba,95.0,7.975.000 TL,
TUNALI KENNEDY CAADESİNDE 1271m2 OTOPARKLI BOŞ SATILIK BİNA,5,1,Doğalgaz (Merkezi),1.2,73.000.000 TL,
YAŞAMKENT 3 ADET SATILIK 1+1,4,2,Doğalgaz (Kombi),500.0,5.500.000 TL,
SATILIK KOMPLE BİNA,7,1,Doğalgaz (Merkezi),2.432,38.000.000 TL,
MUSTAFA KEMAL MAHALLESİNDE SATILIK 4860m2 YOLA CEPHE YENİ BİNA,8,1,Yok,4.86,325.000.000 TL,
UNITAS TEAM DEN RABAT SOKAK' TA KİRACILI 1500 M2 MUHTEŞEM BİNA,7,2,Doğalgaz (Kombi),1.5,37.000.000 TL,
İLKBAHAR MAHALLESİNDE SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),875.0,29.000.000 TL,
GAZİ MAHALLESİ KOMPLE EŞYALARI İLE SATILIK BİNA,3,4,Doğalgaz (Merkezi),1.2,62.000.000 TL,
TURYAP'TAN YAŞAMKENT 11 AYRI TAPULU KİRACILI 1+0 EŞYALI SATILIK,4,3,Doğalgaz (Merkezi),350.0,18.500.000 TL,
,,,,,,
"KDV AVANTAJLI ,KURUMSAL KİRACILI,SOĞUK HAVA DEPOSU ,KOMPLE BİNA",1,1,Doğalgaz (Kombi),1.75,65.000.000 TL,
ALTINDAĞ İSKİTLER TURGUT ÖZAL BULVARIN'DA 3.650 M2 SATILIK BİNA.,9 +,2,Doğalgaz (Merkezi),3.65,62.000.000 TL,
"MERKEZİ KONUMDA, YÜKSEK KİRA GETİRİLİ, KURUMSALA UYGUN BİNA..",4,5 +,Doğalgaz (Merkezi),4.0,125.000.000 TL,
BİRLİK'TE 4 ADET 1+1 2 ADET 1+0 2 ADET m2 BÜYÜK 3+1 SATILIK BİNA,4,2,Doğalgaz (Kombi),650.0,25.500.000 TL,
İVEDİK OSB'DESATILIK 3 KATLI YAPILI BİNA CADDE ÜZERİ,3,3,Doğalgaz (Kombi),650.0,15.250.000 TL,
OSTİMDE UZAY ÇAĞI CADDESİ'NE PARALEL KONUMDA SATILIK SIFIR BİNA,3,1,Doğalgaz (Kombi),630.0,18.500.000 TL,
YAŞAMKENT DE SATILIK 4 KATLI BİNA,4,3,Doğalgaz (Merkezi),480.0,23.000.000 TL,
UĞURMUMCU CADDESİ KÖŞE BİNADA 2 DAİRE 5 DÜKKAN,4,2,Doğalgaz (Kombi),400.0,26.900.000 TL,
TURAN GÜNEŞ BULVARINDA 3200 M2 TİCARİ KOMPLE BİNA,7,1,Doğalgaz (Kombi),3.2,84.000.000 TL,
ANKARA KALESİ TARİHİ MİMARİ 155m2 BİNA,2,1,Yok,155.0,6.500.000 TL,
MERKEZİ LOKASYONDA KOMPLE SATILIK LÜX YAPILI SIFIR BİNA !,5,2,Doğalgaz (Kombi),1.0,42.000.000 TL,
SAHİBİNDEN KOPÇA SOKAKTA KOMPLE BİNA,3,1,Soba,1.05,30.000.000 TL,
KOMPLE SATILIK BİNA ANKARA KALESİ YAKINI 5 KATLI BİNA,5,2,Yok,800.0,8.750.000 TL,
SATILIK BİNA 2 ADET 4+1 DAİRE 1 ADET 5+1 DUBLEKS 1 ADET DÜKKAN,4,1,Doğalgaz (Kombi),1.0,30.000.000 TL,
Konya Yolu Üzerinde Tabela Değeri Yüksek Satılık Ticari Bina,4,5 +,Yok,4.5,93.000.000 TL,
80 mt BETON ARME EV,2,1,Soba,80.0,1.650.000 TL,
Ümitköy Hazır Satılık Bina 20 Daire 200.000₺ Kira Geliri,4,3,Doğalgaz (Merkezi),1.0,48.500.000 TL,
KURUMSAL KAMU KİRACILI ÇANKAYA GAZİOSMANPAŞA SATILIK KOMPLE BİNA,5,5 +,Doğalgaz (Merkezi),1.75,38.900.000 TL,
SAMSUN YOLU SİTELER-1 KAVŞAĞINDA SATILIK KOMPLE BİNA,5,5 +,Yok,9.936,421.000.000 TL,
YAŞAMKENT İSKANLI KOMPLE SATILIK BİNA,4,4,Doğalgaz (Kombi),736.0,29.500.000 TL,
ETLİK AŞAĞI EĞLENCE GÖBEKTE KOMPLE SATILIK BİNA,3,2,Doğalgaz (Kombi),1.8,42.000.000 TL,
Var Bina Kaçırılmayacak Fırsat! Sahibinden Hastalık Sebebiyle Doğalgaz (Kombi) Açık Otopark,3,2,Doğalgaz (Kombi),1.8,67.950.000 TL,
CB LOFT'TAN BALGAT OĞUZLAR'DA KOMPLE SATILIK BİNA (LÜKS PLAZA),4,2,Doğalgaz (Kombi),1.6,54.000.000 TL,
ACİL SATILIK! Ankara Demetevler ivedik cad. 7 kat imarlı bina,3,2,Doğalgaz (Kombi),300.0,53.500.000 TL,
BAŞAK mah.BU FİYATA BENZERİ YOK MANZARALI İSKANLI KOMPLE BİNA,3,2,Doğalgaz (Kombi),130.0,10.250.000 TL,
ABAY KUNANBAY CADDESİNDE SATILIK KOMPLE BİNA!,5,3,Doğalgaz (Kombi),1.061,45.000.000 TL,
ÇANKAYA İLKBAHAR MAHALLESİNDE FULL YAPILI SATILIK TİCARİ BİNA,4,1,Doğalgaz (Kombi),550.0,25.500.000 TL,
SİTELERDE SATILIK KOMPLE BİNA,4,1,Soba,1.2,16.000.000 TL,
GAZİOSMANPAŞA ÜST REŞİTGALİP'DE 3 KAT'LI LÜX SATILIK VİLLA,3,1,Doğalgaz (Kombi),1.0,45.000.000 TL,
ÇAYYOLUNDA SATILIK KÖŞE DÜKKAN,1,3,Doğalgaz (Kombi),2.3,40.000.000 TL,
TURAN GÜNEŞ BULVARI ÜZERİNDE CADDEYE CEPHELİ KOMPLE BİNA,7,5 +,Doğalgaz (Kombi),3.0,92.000.000 TL,
YERKÜRE MÜLKTEN YABANCI YATIRIMCILARA BİNA,4,1,Doğalgaz (Kombi),550.0,6.250.000 TL,
Sincan çarşı merkezinde satılık komple bina,1,1,Doğalgaz (Kombi),218.0,25.000.000 TL,
İSTASYON CADDESİ SATILIK KOMPLE BİNA,3,5 +,Doğalgaz (Kombi),1.56,30.250.000 TL,
ANKARA KALESİNDE SATILIK 180 M2 TARİHİ BİNA,2,1,Doğalgaz (Kombi),180.0,5.000.000 TL,
Ankara Mamak Plevne Caddesi Üzerinde 3000 m2 Satılık Komple Bina,5,1,Doğalgaz (Merkezi),3.0,95.000.000 TL,
BALGAT CEVİZLİDERE'DE KOMPLE SATILIK LÜKS BİNA KİRACILI,5,1,Doğalgaz (Merkezi),1.79,62.000.000 TL,
İVEDİK OSB DE SATILIK 4 KATLI MÜSTAKİL İŞYERİ-BİNA,4,2,Doğalgaz (Kombi),1.0,25.500.000 TL,
Köy İçi Hazır 3 Katlı Ev Hemen Kullan Mustakil Bina,3,1,Kalorifer,400.0,2.550.000 TL,
KURUMSAL KİRACILI İSKANLI SANSÖRLÜ YÜZME HAVUZLU SATILIK BİNA,3,2,Doğalgaz (Kombi),1.5,28.500.000 TL,
ANKARA KALESİ ARKASINDA İSKANLI KİRACILI SATILIK YENİ BİNA,5,4,Doğalgaz (Kombi),5.0,65.000.000 TL,
SATILIK KOMPLE BINALAR,6,1,Doğalgaz (Kombi),900.0,100.000.000 TL,
BORSA ~ HER PROJEYE UYGUN ÖZEL OKUL KİRACILI KOMPLE SATILIK BİNA,8,4,Doğalgaz (Merkezi),2.75,67.950.000 TL,
KENT MEYDANI KARŞISI MERKEZİ NOKTADA 960m2 KOMPLE BİNA,6,1,Doğalgaz (Kombi),1.0,19.900.000 TL,
SİNCAN SATILIK İŞYERİ MÜLK,4,1,Doğalgaz (Kombi),331.0,8.000.000 TL,
BATIKENT MELİH GÖKÇEK BULVARI FULL YAPILI TAM KDV'Lİ KOMPLE BİNA,4,5 +,Doğalgaz (Merkezi),1.0,45.000.000 TL,
"ÇUBUK ANKARA BULVARINDA, 5 KAT SATILIK KOMPLE BİNA VE ARSASI",5,1,Soba,775.0,6.000.000 TL,
YAŞAMKENT-B­AĞIMSIZ-TAM MÜSTAKİL-SATILIK BİNA-4 KATLI-İŞLEK CADDE,4,1,Doğalgaz (Kombi),450.0,15.900.000 TL,
ATABEY EMLAKTAN İVEDİK OSB DE SATILIK BİNA,3.0,1,Doğalgaz (Kombi),600.0,15.500.000 TL,
FIRSAT YENİMAHALLE İVEDİK CAD.GİRİŞ SOK. BİNA SATILIKTIR,3.0,1,Doğalgaz (Kombi),375.0,7.950.000 TL,
SAHİBİNDEN SATILIK ŞİRKET BİNASI,4.0,1,Yerden Isıtma,613.0,29.900.000 TL,
,,,,,,
"KONUT+TİCARİ İMARLI,1000m2 KAPALI ALANLI KOMPLE BİNA+475m2 ARSA",5.0,4,Doğalgaz (Merkezi),1.0,65.000.000 TL,
KALE MAHALLESİNDE TİCARETE VE YATIRIMA UYGUN SATILIK KOMPLE BİNA,3.0,2,Yok,575.0,12.200.000 TL,
ANKARA KALESİ YOLU ÜZERİ GENİŞ-ÇİFT CEPHELİ 3 KATLI TARİHİ BİNA,3.0,1,Soba,240.0,9.900.000 TL,
ALACAATLI AĞAÇLI TIR OTOPARKI KARŞISI 1000 M2 SATILIK BİNA,4.0,2,Yok,1.1,59.000.000 TL,
ULUS ANAFARTLAR CADDESİ ÜZERİNDE SATILIK BİNA,4.0,2,Kalorifer,247.0,19.500.000 TL,
SUFFE EMLAK'TAN CADDE ÜZERİNDE TİCARİ+KONUT KOMPLE BİNA 2750M2,3.0,4,Doğalgaz (Kombi),2.75,55.000.000 TL,
Ankara Çankaya Beysukent'te Satılık 1100m² 4kat Yeni Modern Bina,4.0,3,Yerden Isıtma,1.1,46.500.000 TL,
"KAZIM ORBAY MAHALLESİ'NDE SIFIR, KOMPLE SATILIK BİNA",4.0,3,Doğalgaz (Kombi),738.0,45.000.000 TL,
KAYALAR'DA 2 KATLI 3.500TL KİRACILI SATILIK BİNA,2.0,1,Soba,120.0,900.000 TL,
TİCARETİN MERKEZİ MUSTAFA KEMAL MAHALLESİNDE SATILIK KOMPLE BİNA,7.0,2,Doğalgaz (Merkezi),1.907,105.000.000 TL,
