2,3,4,5,6,7
3,1,0,280,12000000,6
6,1,0,4,94000000,6
3,1,0,320,3500000,6
6,,1,4,135000000,6
4,,1,1,50000000,6
4,2,1,4,161655000,6
5,,2,1,70000000,6
4,2,0,750,39900000,6
4,2,0,500,18500000,6
4,3,0,2,62000000,6
3,2,0,1,45000000,6
4,1,0,600,35000000,6
3,1,0,600,29750000,6
4,2,1,1,47500000,6
5,,0,1,25000000,6
2,2,0,400,5200000,6
4,1,0,600,11750000,6
3,2,1,1,27000000,6
5,,0,11,35000000,6
9,4,1,140,2550000,6
4,3,0,500,18850000,6
5,1,3,1,25000000,6
9,,1,10,250000000,6
4,2,0,1,35000000,6
4,1,4,215,7700000,6
5,1,0,1,37500000,6
5,1,2,1,59000000,6
2,4,0,95,950000,6
4,1,0,760,35000000,6
4,1,0,275,11500000,6
4,1,0,900,40000000,6
3,3,0,2,37500000,6
4,3,0,100,2800000,6
2,1,5,90,1550000,6
5,2,1,550,17000000,6
5,1,0,910,12250000,6
2,4,0,805,35500000,6
6,2,1,1,86000000,6
5,2,0,655,48000000,6
3,2,0,1,44000000,6
7,1,3,1,37500000,6
4,1,0,700,30500000,6
3,1,0,140,2870000,6
3,2,0,500,25000000,6
4,2,0,1,69000000,6
2,1,5,95,7975000,6
5,1,1,1,73000000,6
4,2,0,500,5500000,6
7,1,1,2,38000000,6
8,1,4,4,325000000,6
7,2,0,1,37000000,6
4,1,0,875,29000000,6
3,4,1,1,62000000,6
4,3,1,350,18500000,6
1,1,0,1,65000000,6
9,2,1,3,62000000,6
4,,1,4,125000000,6
4,2,0,650,25500000,6
3,3,0,650,15250000,6
3,1,0,630,18500000,6
4,3,1,480,23000000,6
4,2,0,400,26900000,6
7,1,0,3,84000000,6
2,1,4,155,6500000,6
5,2,0,1,42000000,6
3,1,5,1,30000000,6
5,2,4,800,8750000,6
4,1,0,1,30000000,6
4,,4,4,93000000,6
2,1,5,80,1650000,6
4,3,1,1,48500000,6
5,,1,1,38900000,6
5,,4,9,421000000,6
4,4,0,736,29500000,6
3,2,0,1,42000000,6
3,2,0,1,67950000,6
4,2,0,1,54000000,6
3,2,0,300,53500000,6
3,2,0,130,10250000,6
5,3,0,1,45000000,6
4,1,0,550,25500000,6
4,1,5,1,16000000,6
3,1,0,1,45000000,6
1,3,0,2,40000000,6
7,,0,3,92000000,6
4,1,0,550,6250000,6
1,1,0,218,25000000,6
3,,0,1,30250000,6
2,1,0,180,5000000,6
5,1,1,3,95000000,6
5,1,1,1,62000000,6
4,2,0,1,25500000,6
3,1,6,400,2550000,6
3,2,0,1,28500000,6
5,4,0,5,65000000,6
6,1,0,900,100000000,6
8,4,1,2,67950000,6
6,1,0,1,19900000,6
4,1,0,331,8000000,6
4,,1,1,45000000,6
5,1,5,775,6000000,6
4,1,0,450,15900000,6
3,1,0,600,15500000,6
3,1,0,375,7950000,6
4,1,2,613,29900000,6
5,4,1,1,65000000,6
3,2,4,575,12200000,6
3,1,5,240,9900000,6
4,2,4,1,59000000,6
4,2,6,247,19500000,6
3,4,0,2,55000000,6
4,3,2,1,46500000,6
4,3,0,738,45000000,6
2,1,5,120,900000,6
7,2,1,1,105000000,6
4,1,0,780,19500000,6
4,1,0,800,27000000,6
3,3,0,167,4750000,6
8,1,0,1,120000000,6
4,,1,2,65000000,6
3,2,5,315,4750000,6
2,2,0,130,6750000,6
6,,0,4,150000000,6
4,,1,1,45000000,6
1,3,0,120,1350000,6
5,2,0,1,21500000,6
5,2,0,1,12250000,6
3,1,0,600,18000000,6
3,1,0,225,5500000,6
3,,0,630,23250000,6
4,1,0,605,26000000,6
5,1,0,1,35000000,6
2,1,4,1,70000000,6
4,1,0,219,6750000,6
5,,0,1,22500000,6
4,3,0,1,28000000,6
3,2,1,400,12500000,6
5,4,0,950,17000000,6
3,1,0,800,18400000,6
2,1,0,240,6000000,6
5,2,4,1,20000000,6
5,4,1,2,80000000,6
4,1,5,800,15900000,6
5,1,3,500,27000000,6
5,,1,10,530000000,6
4,,0,650,22000000,6
1,4,0,100,1500000,6
4,1,1,800,57550000,6
5,2,1,450,19500000,6
8,4,7,4,166000000,6
7,4,0,3,84000000,6
4,2,0,440,19000000,6
6,1,0,234,14750000,6
4,2,0,3,85000000,6
9,2,0,2,42000000,6
3,,1,9,320000000,6
5,2,5,225,5800000,6
5,2,0,140,30000000,6
4,,0,3,57500000,6
3,3,0,340,11900000,6
4,1,1,1,53900000,6
8,1,1,4,98900000,6
3,1,0,850,34950000,6
5,2,0,125,14000000,6
2,1,5,343,8650000,6
9,1,1,1,41800000,6
2,1,0,600,11000000,6
5,4,0,1,100000000,6
3,,0,5,170000000,6
4,1,0,1,77000000,6
4,,1,280,38000000,6
3,1,5,400,8750000,6
3,1,0,660,22000000,6
8,1,1,3,51500000,6
5,1,0,1,32000000,6
3,1,0,450,6750000,6
3,1,5,150,3750000,6
3,3,0,1,40000000,6
9,1,1,12,820000000,6
7,,1,6,430000000,6
4,1,0,500,16000000,6
9,1,1,3,145000000,6
4,1,5,850,26500000,6
3,2,0,450,22500000,6
4,1,1,1,29750000,6
4,4,4,750,12800000,6
4,1,0,400,26900000,6
5,1,0,2,70000000,6
2,1,0,400,2850000,6
4,1,0,850,35000000,6
5,1,0,930,9750000,6
3,2,0,961,26150000,6
5,,1,2,117000000,6
4,,0,4,70000000,6
6,,0,2,55000000,6
3,2,5,375,1150000,6
8,3,0,4,73000000,6
1,2,0,110,1900000,6
4,1,0,500,10800000,6
9,1,1,3,59999999,6
3,1,1,950,32000000,6
4,2,0,1,75000000,6
4,1,0,1,13500000,6
3,2,0,600,14750000,6
3,2,0,900,17500000,6
3,1,0,275,13500000,6
4,,1,7,65900000,6
3,3,0,340,16000000,6
1,1,1,900,22000000,6
4,,8,2,100000000,6
2,1,0,500,3500000,6
4,2,5,391,16000000,6
4,,0,2,185000000,6
3,1,0,275,5750000,6
5,2,0,1,34750000,6
5,,3,3,71000000,6
5,1,0,900,28000000,6
4,2,1,4,165655000,6
5,2,2,400,17500000,6
6,1,0,1,28250000,6
4,1,5,950,15900000,6
4,1,2,1,55000000,6
2,1,0,152,8500000,6
4,2,2,400,24000000,6
4,3,1,600,22750000,6
3,1,5,522,23000000,6
5,1,0,1,59500000,6
5,1,1,3,84900000,6
4,1,9,665,37000000,6
2,1,0,150,10000000,6
4,,1,2,65000000,6
1,1,0,155,3000000,6
4,4,1,63,22500000,6
3,3,2,200,7500000,6
3,1,4,105,4995000,6
7,4,7,2,55000000,6
4,1,0,85,1250000,6
3,,0,585,85000000,6
9,2,0,185,108000000,6
2,2,5,430,3250000,6
1,,4,2,120500000,6
6,1,0,900,14750000,6
2,1,5,125,2250000,6
3,1,1,580,39000000,6
4,1,9,665,37000000,6
9,,0,4,59999999,6
3,2,0,341,7800000,6
3,2,0,45,7500000,6
3,1,0,360,30000000,6
6,1,0,3,275000000,6
7,1,4,4,47500000,6
6,1,0,2,58900000,6
6,,1,2,105000000,6
2,2,5,1,12500000,6
6,,1,2,89000000,6
3,,0,1,47900000,6
5,,1,1,102500000,6
9,3,0,105,1900000,6
5,1,0,300,5800000,6
4,2,0,1,30000000,6
8,3,0,3,200000000,6
4,2,0,700,18750000,6
7,1,4,3,38500000,6
2,2,6,975,5750000,6
